dataset,alpha,seed,n_lcc,m_lcc,n_comm,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,Q_leiden_sparse,dQ_leiden_sparse,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta,n1,n2
cit-HepTh,0.6,60000,27400,352021,26,0.6566588620689939,127494,0.36217725647049465,0.7071395032669265,0.05048064119793261,0.7218641753603193,0.0652053132913254,0.7344249348760443,0.7721069226787143,0.03768198780266996,0.07776607280705047,0.06496741941178764,-0.01279865339526283,0.05048064119793279,1.8041124150158794e-16,0.3807599029911075,0.31078855040219067,0.8162323499947131,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60001,27400,352021,26,0.6566588620689939,127489,0.36216305277241984,0.707904909934079,0.05124604786508502,0.7211915963806944,0.06453273431170048,0.7344249348760443,0.7731019931131313,0.038677058237087,0.07776607280705047,0.06519708317905237,-0.0125689896279981,0.051246047865085104,8.326672684688674e-17,0.38123566430591066,0.3094193907239432,0.811622363000276,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60002,27400,352021,26,0.6566588620689939,127315,0.3616687640794157,0.7082590147084409,0.05160015263944695,0.7207357285545097,0.0640768664855158,0.7344249348760443,0.7732710206966972,0.038846085820652854,0.07776607280705047,0.06501200598825628,-0.012754066818794194,0.05160015263944705,9.71445146547012e-17,0.3807985827727988,0.30876690056477835,0.8108404666752719,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60003,27400,352021,26,0.6566588620689939,127503,0.36220282312702934,0.7078716398815623,0.05121277781256839,0.7212691757378938,0.06461031366889991,0.7344249348760443,0.7730014195744414,0.03857648469839703,0.07776607280705047,0.06512977969287917,-0.012636293114171304,0.05121277781256833,5.551115123125783e-17,0.3812279283495724,0.30959053568372413,0.8120877634123401,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60004,27400,352021,26,0.6566588620689939,127256,0.3615011604421327,0.7070252662891047,0.05036640422011074,0.7222862711730532,0.06562740910405929,0.7344249348760443,0.7721679134972025,0.03774297862115816,0.07776607280705047,0.06514264720809804,-0.012623425598952437,0.0503664042201106,1.3877787807814457e-16,0.38007913883334044,0.31012536368303956,0.8159494484095464,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60005,27400,352021,26,0.6566588620689939,127345,0.3617539862678647,0.7061901130951248,0.049531251026130874,0.7239679744627489,0.06730911239375492,0.7344249348760443,0.7712984412422945,0.0368735063662502,0.07776607280705047,0.06510832814717005,-0.012657744659880427,0.049531251026130624,2.498001805406602e-16,0.3799166837502369,0.31152661304124596,0.8199866611966121,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60006,27400,352021,26,0.6566588620689939,127528,0.3622738416174035,0.7081250174981962,0.0514661554292023,0.7246945294517002,0.06803566738270628,0.7344249348760443,0.7732105890471113,0.03878565417106694,0.07776607280705047,0.0650855715489152,-0.012680501258135274,0.051466155429202215,8.326672684688674e-17,0.38140585534535243,0.30936590792401164,0.811119975187296,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60007,27400,352021,26,0.6566588620689939,127710,0.3627908562273274,0.7089959271897639,0.052337065120769966,0.7203588404318344,0.06369997836284047,0.7344249348760443,0.7739644507086367,0.03953951583259241,0.07776607280705047,0.06496852351887288,-0.012797549288177598,0.05233706512077001,4.163336342344337e-17,0.3823225661714365,0.30877759712476466,0.8076363376006069,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60008,27400,352021,26,0.6566588620689939,127509,0.36221986756471913,0.7087593284079539,0.05210046633895993,0.7234716245149118,0.06681276244591783,0.7344249348760443,0.7735924522974849,0.039167517421440534,0.07776607280705047,0.06483312388953114,-0.012932948917519338,0.05210046633895987,5.551115123125783e-17,0.3815373666031029,0.3087989902447373,0.8093545148514057,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.6,60009,27400,352021,26,0.6566588620689939,127306,0.36164319742288104,0.7087259701427053,0.0520671080737114,0.7179747436753348,0.06131588160634083,0.7344249348760443,0.7739462397687462,0.03952130489270189,0.07776607280705047,0.06522026962604122,-0.012545803181009257,0.05206710807371115,2.498001805406602e-16,0.3811041530481602,0.30782560328598324,0.8077204113991465,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
