network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,n,k0,kp,match_method,agree_all_hung,agree_all_plur,n_frag_nodes,frac_frag_nodes,core_enrich_bot2,core_enrich_top2,deg_enrich_bot2,deg_enrich_top2,emb_enrich_bot2,emb_enrich_top2,frag_deg_median,all_deg_median,frag_deg_mean,all_deg_mean,frag_core_median,all_core_median,frag_core_mean,all_core_mean,frag_frac_deg_le2,all_frac_deg_le2,frag_frac_core_le1,all_frac_core_le1,lift_deg_le2,lift_core_le1,core_ah_gap,deg_ah_gap,emb_ah_gap,seconds,fsc_d0,fsc_d1,fsc_d2,fsc_d3,fsc_d4,fsc_d5,fsc_d6,fsc_d7,fsc_d8,fsc_d9,frc_d0,frc_d1,frc_d2,frc_d3,frc_d4,frc_d5,frc_d6,frc_d7,frc_d8,frc_d9,fsd_d0,fsd_d1,fsd_d2,fsd_d3,fsd_d4,fsd_d5,fsd_d6,fsd_d7,fsd_d8,fsd_d9,frd_d0,frd_d1,frd_d2,frd_d3,frd_d4,frd_d5,frd_d6,frd_d7,frd_d8,frd_d9,fse_d0,fse_d1,fse_d2,fse_d3,fse_d4,fse_d5,fse_d6,fse_d7,fse_d8,fse_d9,ahc_d0,ahc_d1,ahc_d2,ahc_d3,ahc_d4,ahc_d5,ahc_d6,ahc_d7,ahc_d8,ahc_d9,ahd_d0,ahd_d1,ahd_d2,ahd_d3,ahd_d4,ahd_d5,ahd_d6,ahd_d7,ahd_d8,ahd_d9,chk_kp_match,chk_nfrag_match,chk_agree_diff,chk_fs_maxdiff
email-Eu-core,real,lspar,lspar,0.5,0.502054,,302,1.0,8065,986,8,12,hungarian,0.7626774847870182,0.9127789046653144,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.0733525733525735,0.06641242355528076,0.1515151515151516,0.0003738049999810755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.5858585858585859,0.7755102040816326,0.6666666666666666,0.7551020408163265,0.8080808080808081,0.8181818181818182,0.8163265306122449,0.8383838383838383,0.7448979591836735,0.8282828282828283,0.5858585858585859,0.7653061224489796,0.6767676767676768,0.7448979591836735,0.8181818181818182,0.8282828282828283,0.7142857142857143,0.8888888888888888,0.7755102040816326,1,1,0.0,0.0
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,986,8,17,hungarian,0.6115618661257607,0.9036511156186613,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.11361918504775637,0.10341510341510352,0.1476671476671476,0.00038338699960149825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7171717171717171,0.37373737373737376,0.6122448979591837,0.5353535353535354,0.5714285714285714,0.6767676767676768,0.5858585858585859,0.6530612244897959,0.6868686868686869,0.7040816326530612,0.7171717171717171,0.3939393939393939,0.6020408163265306,0.5353535353535354,0.5510204081632653,0.6060606060606061,0.6868686868686869,0.6020408163265306,0.7070707070707071,0.7142857142857143,1,1,0.0,0.0
email-Eu-core,real,lspar,lspar,0.2,0.201444,,301,1.0,3236,986,8,17,hungarian,0.6095334685598377,0.90973630831643,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.10688517831374977,0.0966810966810967,0.17133924276781431,0.00046309199751704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7171717171717171,0.40404040404040403,0.6020408163265306,0.5353535353535354,0.5612244897959183,0.6565656565656566,0.5757575757575758,0.6224489795918368,0.696969696969697,0.7244897959183674,0.7171717171717171,0.42424242424242425,0.5918367346938775,0.5353535353535354,0.5408163265306123,0.5757575757575758,0.6868686868686869,0.5714285714285714,0.7171717171717171,0.7346938775510204,1,1,0.0,0.0
email-Eu-core,real,lspar,lspar,0.2,0.201444,,302,1.0,3236,986,8,19,hungarian,0.6054766734279919,0.9269776876267748,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.13735999450285163,0.12725898440184158,0.13756613756613756,0.00043247799840173684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7272727272727273,0.37373737373737376,0.6020408163265306,0.494949494949495,0.5102040816326531,0.6666666666666666,0.5656565656565656,0.6530612244897959,0.7171717171717171,0.7448979591836735,0.7272727272727273,0.3939393939393939,0.5816326530612245,0.5151515151515151,0.5102040816326531,0.5656565656565656,0.6767676767676768,0.6020408163265306,0.7070707070707071,0.7755102040816326,1,1,0.0,0.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,986,8,8,hungarian,1.0,1.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.0,0.0,0.0,0.0003949249985453207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,101,1.0,16064,986,8,8,hungarian,0.9198782961460447,0.9198782961460447,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.07390228818800237,0.07070707070707094,0.05713598570741418,0.0003750280011445284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8787878787878788,0.8383838383838383,0.9285714285714286,0.9191919191919192,0.8979591836734694,0.898989898989899,0.9696969696969697,0.9387755102040817,0.98989898989899,0.9387755102040817,0.8888888888888888,0.8383838383838383,0.9285714285714286,0.898989898989899,0.9081632653061225,0.8888888888888888,0.9797979797979798,0.9795918367346939,0.9393939393939394,0.9489795918367347,1,1,0.0,0.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,102,1.0,16064,986,8,8,hungarian,0.9411764705882353,0.9411764705882353,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.04036968322682599,0.03360131931560506,0.08097986669415247,0.0003578809992177412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9494949494949495,0.9191919191919192,0.9183673469387755,0.9191919191919192,0.8877551020408163,0.9090909090909091,1.0,0.9693877551020408,1.0,0.9387755102040817,0.9595959595959596,0.9090909090909091,0.9183673469387755,0.9191919191919192,0.9183673469387755,0.9191919191919192,0.9797979797979798,0.9387755102040817,0.98989898989899,0.9591836734693877,1,1,0.0,0.0
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,986,8,13,hungarian,0.744421906693712,0.9320486815415822,0,0.0,nan,nan,nan,nan,nan,nan,nan,22.0,nan,32.5841784989858,nan,18.0,nan,17.391480730223122,nan,0.1328600405679513,nan,0.09634888438133875,nan,nan,0.012196797911083634,0.012402940974369558,0.21232735518449808,0.00035885300167137757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7373737373737373,0.7171717171717171,0.7040816326530612,0.696969696969697,0.7551020408163265,0.8282828282828283,0.8080808080808081,0.8469387755102041,0.8686868686868687,0.47959183673469385,0.7474747474747475,0.7070707070707071,0.7040816326530612,0.696969696969697,0.7755102040816326,0.8383838383838383,0.7777777777777778,0.7653061224489796,0.8080808080808081,0.6224489795918368,1,1,0.0,0.0
email-Eu-core,real,resmatch,lspar,0.5,1.0,,101,1.5,16064,986,8,16,hungarian,0.6561866125760649,0.8975659229208925,12,0.012170385395537525,3.333333333333333,0.8333333333333333,3.3333333333333335,0.8333333333333333,2.9166666666666665,0.41666666666666663,4.0,22.0,51.083333333333336,32.5841784989858,4.0,18.0,8.75,17.391480730223122,0.3333333333333333,0.1328600405679513,0.08333333333333333,0.09634888438133875,2.508905852417303,0.8649122807017543,0.05555555555555547,0.0594379165807738,0.22909365766508627,0.0004242110007908195,0.16666666666666666,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.020202020202020204,0.06060606060606061,0.01020408163265306,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.010101010101010102,0.0707070707070707,0.01020408163265306,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.4166666666666667,0.16666666666666666,0.25,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,0.5151515151515151,0.673469387755102,0.6161616161616161,0.6836734693877551,0.7373737373737373,0.6464646464646465,0.7040816326530612,0.8484848484848485,0.46938775510204084,0.6666666666666666,0.5353535353535354,0.6632653061224489,0.6262626262626263,0.673469387755102,0.6767676767676768,0.6767676767676768,0.7040816326530612,0.7272727272727273,0.6122448979591837,1,1,0.0,0.0
email-Eu-core,real,resmatch,lspar,0.5,1.0,,102,1.5,16064,986,8,16,hungarian,0.7058823529411765,0.947261663286004,14,0.014198782961460446,2.8571428571428568,0.7142857142857142,2.8571428571428568,0.7142857142857142,2.8571428571428568,0.3571428571428571,4.0,22.0,44.92857142857143,32.5841784989858,4.0,18.0,8.642857142857142,17.391480730223122,0.2857142857142857,0.1328600405679513,0.07142857142857142,0.09634888438133875,2.1504907306434022,0.7413533834586465,0.008692365835223037,0.00896722325293764,0.22909365766508627,0.0004188410021015443,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.020202020202020204,0.06060606060606061,0.030612244897959183,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.07142857142857142,0.5,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.010101010101010102,0.0707070707070707,0.030612244897959183,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.42857142857142855,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.7474747474747475,0.6565656565656566,0.6428571428571429,0.696969696969697,0.7244897959183674,0.8282828282828283,0.6868686868686869,0.7755102040816326,0.8484848484848485,0.4489795918367347,0.7474747474747475,0.6565656565656566,0.6428571428571429,0.696969696969697,0.7448979591836735,0.7878787878787878,0.7070707070707071,0.7142857142857143,0.7676767676767676,0.5918367346938775,1,1,0.0,0.0
