dataset,n,m,sampler,alpha,actual_ret_mean,actual_ret_std,Q_base_mean,Q_base_std,Q_base_best,Q_raw_mean,Q_raw_std,Q_raw_best,Q_seeded_mean,Q_seeded_std,Q_seeded_best,Q_matched_best,n_matched_restarts,T_leiden,T_sparsify_mean,T_leiden_sparse_mean,T_seed_mean,T_pipe_mean,T_matched_spent,k_sparse_mean,k_seeded_mean,raw_minus_base,seeded_minus_base,seeded_minus_matched,seededbest_minus_matched
ca-CondMat,21363,91286,repo_noreplace,0.95,0.6757859912801525,0.0010370096188701522,0.7307902175437482,0.0010974583478194013,0.7324642748961809,0.6966678267768449,0.0010662124448652948,0.6979004569435336,0.7244120591460619,0.0011578783475983592,0.7264904394557975,0.7293820280333824,2,0.7680785140255466,0.03976000419352203,0.7448794825933873,0.6457251222571359,1.4303646090440452,1.738664940930903,76.2,49.6,-0.034122390766903266,-0.0063781583976862954,-0.004969968887320486,-0.0028915885775848693
email-Enron,33696,180811,calibrated,0.7,0.6996388494062862,0.00043115705004956594,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.5948708525168889,0.0055722180635047495,0.6047047888368149,0.6057834937267375,0.006041208439304236,0.6142386053136707,0.605125368663654,2,1.4467589260311797,0.11473772819153964,1.4092578789917751,1.0811810893937945,2.6051766965771095,2.9085141849936917,115.6,124.0,-0.012226452176793745,-0.0013138109669451614,0.0006581250630834923,0.009113236650016732
email-Enron,33696,180811,calibrated,0.8,0.799469058851508,0.0007363718602739042,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.6102726109290506,0.005217537583668652,0.6178250173287803,0.6155076008267875,0.005443320404595848,0.6215518355217988,0.605125368663654,2,1.4467589260311797,0.1262924738228321,1.408602928183973,1.0487619235878811,2.583657325594686,2.8970918559934944,124.4,142.4,0.0031753062353679917,0.008410296133104844,0.010382232163133498,0.01642646685814486
email-Enron,33696,180811,calibrated,0.9,0.8997207028333453,0.00036237449186450875,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.6119163039015312,0.003047709966541932,0.6153597825107002,0.6146341196071525,0.002517569314414479,0.6178757283337593,0.605125368663654,2,1.4467589260311797,0.13733814181759954,1.4759129015961663,1.044858312793076,2.658109356206842,2.8837005549576133,147.6,156.2,0.004818999207848562,0.007536814913469914,0.009508750943498567,0.012750359670105293
email-Enron,33696,180811,calibrated,0.95,0.9499333558245903,0.00016557215957215237,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.6116271825445124,0.00338776259380927,0.6146175020299172,0.6128355559068763,0.0032692042029772717,0.6157854942147547,0.605125368663654,2,1.4467589260311797,0.14105435078963638,1.4113552664406597,1.0243530073668807,2.576762624597177,2.909354696981609,169.6,174.4,0.004529877850829811,0.0057382512131937125,0.007710187243222366,0.010660125551100741
email-Enron,33696,180811,repo_noreplace,0.7,0.449537915281703,0.0003272268090491199,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.5739294047612316,0.002546733607109415,0.5772955312898302,0.620069203047591,0.0012154880700650753,0.6212710708220018,0.605125368663654,2,1.4467589260311797,0.0529311821796,1.0783714048564434,1.1357384253758938,2.267041012411937,2.776080959942192,120.2,121.8,-0.03316789993245106,0.01297189835390844,0.014943834383937094,0.016145702158347874
email-Enron,33696,180811,repo_noreplace,0.8,0.4792208438645879,0.0003959348971465098,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.5768058158183853,0.003281681437550891,0.5803787312146638,0.617349216582791,0.002060558193712537,0.6193519953433898,0.605125368663654,2,1.4467589260311797,0.0566136437933892,1.0831129155587405,1.1111866063904017,2.2509131657425314,2.8702491279691458,113.2,124.2,-0.030291488875297312,0.010251911889108345,0.012223847919136999,0.014226626679735843
email-Enron,33696,180811,repo_noreplace,0.9,0.505618574091178,0.00034663639442101787,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.584255682668404,0.003636160735436826,0.589263649683992,0.6182827336312101,0.00206667009196002,0.6212075879122602,0.605125368663654,2,1.4467589260311797,0.05904486300423741,1.1118654146092013,1.0712197231594474,2.242130000772886,2.817330389050767,105.2,121.4,-0.02284162202527862,0.011185428937527497,0.013157364967556151,0.0160822192486062
email-Enron,33696,180811,repo_noreplace,0.95,0.5174121043520582,0.00021937604585237606,0.6070973046936826,0.0018727666339110201,0.6093568592460408,0.5865616216985347,0.0022609173128090966,0.5897049162299476,0.6181621850433412,0.0019092635500379122,0.620591815012953,0.605125368663654,2,1.4467589260311797,0.059962272015400234,1.134931019996293,1.0708078841911628,2.265701176202856,2.613820221973583,99.8,116.6,-0.020535682995147964,0.011064880349658579,0.013036816379687233,0.015466446349299057
com-DBLP,317080,1049866,calibrated,0.7,0.7000169545446753,0.00018304213743176816,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.7984863854839492,0.00097796778885777,0.8001557850674118,0.8228561868671014,0.0006939776036946551,0.8239115441241368,0.8275383822349047,2,14.452466061105952,0.8793455414474011,13.510883555561303,11.491917091375218,25.88214618838392,30.77666802285239,342.0,185.6,-0.027214280222943144,-0.002844478839790998,-0.0046821953678033434,-0.003626838110767916
com-DBLP,317080,1049866,calibrated,0.8,0.7997929259543598,0.0003446846405102862,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.8125787038542416,0.00078341377360079,0.8136569764042035,0.8254284001327029,0.000770214606219795,0.8263847672602649,0.8275383822349047,2,14.452466061105952,0.9703871631994844,14.387887541623787,11.384429245209322,26.742703950032592,28.950062943971716,222.4,200.2,-0.013121961852650799,-0.0002722655741894675,-0.002109982102201813,-0.0011536149746398383
com-DBLP,317080,1049866,calibrated,0.9,0.8999653289086418,0.00025769866948219293,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.821818135724922,0.00040438237264744004,0.8224943694420431,0.8277642023469447,0.0005572530556027131,0.8283944805802127,0.8275383822349047,2,14.452466061105952,0.8874764187959954,12.58193377922289,9.574228654173202,23.04363885219209,26.499861365999095,190.6,211.8,-0.003882529981970362,0.0020635366400523214,0.0002258201120399761,0.0008560983453079762
com-DBLP,317080,1049866,calibrated,0.95,0.949938944589119,8.343965479387155e-05,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.824654168687237,0.0004631466712208344,0.8254879233802077,0.8284366641176184,0.0003983539491642766,0.8291986694485195,0.8275383822349047,2,14.452466061105952,0.9768377840053291,13.668456934392452,10.13816190599464,24.78345662439242,27.709830402978696,197.6,230.4,-0.0010464970196554235,0.002735998410726026,0.0008982818827136807,0.001660287213614775
com-DBLP,317080,1049866,repo_noreplace,0.7,0.5661673013508391,0.00027707995134210054,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.7669044340699394,0.0009386203460568297,0.7684116399495499,0.8200411887094269,0.0008322471761354444,0.8210733656942516,0.8275383822349047,2,14.452466061105952,0.40337287383154036,10.936460003419779,10.21178029756993,21.55161317482125,25.822435993002728,1197.6,181.8,-0.05879623163695302,-0.005659476997465496,-0.007497193525477841,-0.0064650165406531235
com-DBLP,317080,1049866,repo_noreplace,0.8,0.6120419177304532,0.00021979911263367513,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.7805155271694413,0.0006639465014922219,0.7816084914529998,0.8212844767172462,0.0006525919645476396,0.8220223634583612,0.8275383822349047,2,14.452466061105952,0.44787413920275865,11.933559469599277,10.70545438057743,23.086887989379466,25.893045812030323,702.8,181.4,-0.0451851385374511,-0.00441618898964613,-0.006253905517658476,-0.005516018776543508
com-DBLP,317080,1049866,repo_noreplace,0.9,0.6502582234304188,0.0003192392838524074,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.789329460462562,0.0019810414155353854,0.7915582194473763,0.8219201093854732,0.0006205530087017677,0.8226260864014873,0.8275383822349047,2,14.452466061105952,0.4654000800102949,11.35806221703533,9.90006191476714,21.723524211812766,25.87301548605319,477.6,189.0,-0.03637120524433035,-0.0037805563214191595,-0.005618272849431505,-0.004912295833417457
com-DBLP,317080,1049866,repo_noreplace,0.95,0.6669877870128189,0.00027915338016704067,0.8257006657068924,0.0008402935065500301,0.8266042187620449,0.7924504468860895,0.0008145387203606173,0.7934055965913742,0.8213932669062765,0.0008809732722654823,0.8227232441615306,0.8275383822349047,2,14.452466061105952,0.4838590524625033,11.6303986154031,10.10433369197417,22.218591359839774,25.956823271117173,420.6,179.4,-0.033250218820802924,-0.004307398800615925,-0.00614511532862827,-0.004815138073374081
