network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,comm,comm_size,core_size,core_emb_mean,periph_emb_mean,core_cohesion,periph_cohesion
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,0,153,77,0.5658877091660534,0.2833017202787992,0.2077922077922078,0.17105263157894737
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,1,126,63,0.6082089916446508,0.2539474846087048,0.1746031746031746,0.15873015873015872
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,2,125,63,0.4591643160642754,0.23520438233329746,0.20634920634920634,0.20967741935483872
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,3,123,62,0.5560028129942078,0.23138308564370022,0.20967741935483872,0.18032786885245902
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,4,111,56,0.5138510599354505,0.23419364180882393,0.26785714285714285,0.18181818181818182
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,5,104,52,0.4582154553158987,0.19629613788417183,0.28846153846153844,0.21153846153846154
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,6,83,42,0.44932266179187247,0.1842213210643928,0.16666666666666666,0.14634146341463414
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,7,60,30,0.46485659598972273,0.16263937428991096,0.3333333333333333,0.3
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,8,52,26,0.5138483738483738,0.14403399070305956,0.3076923076923077,0.23076923076923078
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,9,47,24,0.45133746614009773,0.14730717066174173,0.375,0.21739130434782608
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,0,153,77,0.5658877091660534,0.2833017202787992,0.24675324675324675,0.18421052631578946
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,1,126,63,0.6082089916446508,0.2539474846087048,0.30158730158730157,0.3333333333333333
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,2,125,63,0.4591643160642754,0.23520438233329746,0.31746031746031744,0.25806451612903225
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,3,123,62,0.5560028129942078,0.23138308564370022,0.27419354838709675,0.2786885245901639
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,4,111,56,0.5138510599354505,0.23419364180882393,0.21428571428571427,0.2545454545454545
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,5,104,52,0.4582154553158987,0.19629613788417183,0.21153846153846154,0.2692307692307692
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,6,83,42,0.44932266179187247,0.1842213210643928,0.23809523809523808,0.1951219512195122
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,7,60,30,0.46485659598972273,0.16263937428991096,0.3333333333333333,0.16666666666666666
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,8,52,26,0.5138483738483738,0.14403399070305956,0.23076923076923078,0.19230769230769232
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,9,47,24,0.45133746614009773,0.14730717066174173,0.375,0.2608695652173913
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,0,153,77,0.5658877091660534,0.2833017202787992,0.14285714285714285,0.15789473684210525
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,1,126,63,0.6082089916446508,0.2539474846087048,0.14285714285714285,0.15873015873015872
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,2,125,63,0.4591643160642754,0.23520438233329746,0.19047619047619047,0.24193548387096775
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,3,123,62,0.5560028129942078,0.23138308564370022,0.16129032258064516,0.21311475409836064
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,4,111,56,0.5138510599354505,0.23419364180882393,0.125,0.23636363636363636
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,5,104,52,0.4582154553158987,0.19629613788417183,0.19230769230769232,0.15384615384615385
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,6,83,42,0.44932266179187247,0.1842213210643928,0.21428571428571427,0.21951219512195122
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,7,60,30,0.46485659598972273,0.16263937428991096,0.23333333333333334,0.2
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,8,52,26,0.5138483738483738,0.14403399070305956,0.23076923076923078,0.23076923076923078
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,9,47,24,0.45133746614009773,0.14730717066174173,0.20833333333333334,0.21739130434782608
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,1.0,1.0
