network,arm,target_ret,realized_ret,seed,n_clusters,frag_nodes,frag_node_frac,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,resolution,detector
email-Eu-core,mst_jaccard,0.2,0.20001,302,29,63,0.06389452332657201,0.6301712551299014,0.46710211189215467,0.6822387417551036,-0.003400139228571206,,,1.0,leiden
email-Eu-core,resmatch,1.0,1.0,100,30,50,0.05070993914807302,0.6727181154607531,0.5791256125173296,0.7201525016458542,-0.004847114512152792,,,2.25,leiden
email-Eu-core,mst_random,0.2,0.20001,300,13,9,0.009127789046653144,0.518293322527409,0.36218465980701947,0.559628003739594,0.002626424722187508,,,1.0,leiden
email-Eu-core,mst_random,0.2,0.20001,301,11,0,0.0,0.49081171218578706,0.33649736604073344,0.5299975436323974,-0.00038114196768369656,,,1.0,leiden
email-Eu-core,mst_random,0.2,0.20001,302,12,0,0.0,0.5195335433776803,0.35169903387643126,0.5590910911482954,-0.005901896955164772,,,1.0,leiden
email-Eu-core,resmatch,1.0,1.0,100,13,0,0.0,0.6364795240396134,0.5039395584830674,0.6684466421290994,-0.004207923977514768,,,1.5,leiden
email-Eu-core,lspar,0.2,0.20144,300,17,0,0.0,0.6305990502188246,0.4452215417993735,0.669997591948868,-0.00812869840531954,,,1.0,leiden
email-Eu-core,lspar,0.2,0.20144,301,17,0,0.0,0.6494609674455797,0.4775133936369232,0.6870451186449698,0.006538855781081754,,,1.0,leiden
email-Eu-core,lspar,0.2,0.20144,302,19,0,0.0,0.6524051422208188,0.4911675837543714,0.6928674349486588,-0.0015309075612131838,,,1.0,leiden
email-Eu-core,resmatch,1.0,1.0,100,18,13,0.013184584178498986,0.6521892686357191,0.5230651335317278,0.6901624457672176,-0.00345945849709168,,,1.75,leiden
email-Eu-core,dspar,0.2,0.19715,300,14,2,0.002028397565922921,0.5463638511560744,0.38951475292908005,0.5846893283263173,0.0031854930676921576,,,1.0,leiden
email-Eu-core,dspar,0.2,0.19752,301,14,3,0.0030425963488843813,0.48681823935423835,0.3234762592963709,0.5272038558122519,0.0067852062039948985,,,1.0,leiden
email-Eu-core,dspar,0.2,0.20232,302,11,0,0.0,0.48981772094569925,0.30111314544713463,0.5284278491760738,-0.006205355483579319,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,0,8,0,0.0,0.4616583627918021,0.3206432566173746,0.49300632146976714,-0.0012774092554006333,,,,metis
email-Eu-core,baseline,1.0,1.0,1,8,0,0.0,0.4616583627918021,0.3206432566173746,0.49300632146976714,-0.004381233414408896,,,,metis
email-Eu-core,baseline,1.0,1.0,2,8,0,0.0,0.47375144910187844,0.33167744488130585,0.5043952333905111,0.004129170963182241,,,,metis
email-Eu-core,baseline,1.0,1.0,3,8,0,0.0,0.4341256471188274,0.2959639389744959,0.4670768816828522,-0.0036080339882510483,,,,metis
email-Eu-core,baseline,1.0,1.0,4,8,0,0.0,0.4251474742148134,0.27940988148880064,0.458621498547751,0.0018137494031181557,,,,metis
email-Eu-core,kn,0.5,0.50386,0,8,0,0.0,0.5314264340941618,0.368981832703714,0.5587117919102499,-0.004048154101707585,,,,metis
email-Eu-core,kn,0.5,0.50417,1,8,0,0.0,0.5336727063516872,0.37101416338890275,0.5608272381220315,0.0010335046094053155,,,,metis
email-Eu-core,kn,0.5,0.50118,2,8,0,0.0,0.5270447051154892,0.3292466453419333,0.5545851775884192,-0.0018267658845927345,,,,metis
email-Eu-core,ld,0.5,0.49994,0,8,0,0.0,0.28574167458476313,0.17803620375380785,0.32733338705929765,0.0027349787067299652,,,,metis
email-Eu-core,ld,0.5,0.49994,1,8,0,0.0,0.28574167458476313,0.17803620375380785,0.32733338705929765,0.003427539340909676,,,,metis
email-Eu-core,ld,0.5,0.49994,2,8,0,0.0,0.3206177756959831,0.20752578587610382,0.36017863015453366,-0.00551370046258989,,,,metis
email-Eu-core,lsim,0.5,0.50012,0,8,0,0.0,0.4758089639007675,0.3135022977189554,0.5063329648787221,0.00586646523376494,,,,metis
email-Eu-core,lsim,0.5,0.50012,1,8,0,0.0,0.4758089639007675,0.3135022977189554,0.5063329648787221,0.007921690579813175,,,,metis
email-Eu-core,lsim,0.5,0.50012,2,8,0,0.0,0.5188192250958935,0.3476142577154113,0.5468386844271043,-0.0005557892750391105,,,,metis
email-Eu-core,mst_jaccard,0.5,0.5,0,8,0,0.0,0.49827289090967264,0.3301911615302899,0.527489569603541,0.003212494897559243,,,,metis
email-Eu-core,mst_jaccard,0.5,0.5,1,8,0,0.0,0.49827289090967264,0.3301911615302899,0.527489569603541,-0.003225208390157297,,,,metis
email-Eu-core,mst_jaccard,0.5,0.5,2,8,0,0.0,0.4789441855215368,0.31115879796319235,0.5092855803017946,0.0015172025723358162,,,,metis
email-Eu-core,mst_random,0.5,0.5,0,8,0,0.0,0.504751207307216,0.3563158100823173,0.5335898687124827,0.0009144972643742075,,,,metis
email-Eu-core,mst_random,0.5,0.5,1,8,0,0.0,0.432449680778175,0.2626438361169856,0.46549849302762697,0.005310844881210079,,,,metis
email-Eu-core,mst_random,0.5,0.5,2,8,0,0.0,0.4982074793758399,0.3416541488506239,0.5274271736313645,-0.0017100154238073278,,,,metis
email-Eu-core,lspar,0.5,0.50205,0,8,0,0.0,0.5122487898417057,0.34776973881623185,0.5406508502310143,-0.002299726329059822,,,,metis
email-Eu-core,lspar,0.5,0.50205,1,8,0,0.0,0.5122487898417057,0.34776973881623185,0.5406508502310143,0.005192577483412134,,,,metis
email-Eu-core,lspar,0.5,0.50205,2,8,0,0.0,0.47337542596742804,0.29990747328030865,0.5040411063198121,0.0007135329777720776,,,,metis
email-Eu-core,dspar,0.5,0.49689,0,8,0,0.0,0.5455735836777194,0.3782181210602545,0.5720351198721101,0.001208739315546877,,,,metis
email-Eu-core,dspar,0.5,0.50268,1,8,0,0.0,0.5097689236247682,0.3430846260013139,0.5383153752879929,-0.0043093793282918975,,,,metis
email-Eu-core,dspar,0.5,0.49533,2,8,0,0.0,0.5316375396911898,0.3710715531775893,0.5589105686328326,-0.004116677073033246,,,,metis
email-Eu-core,kn,0.2,0.19684,0,8,0,0.0,0.46358248348328135,0.31470409137506344,0.49481841303924623,0.007255093109411478,,,,metis
email-Eu-core,kn,0.2,0.19628,1,8,0,0.0,0.4450529575619179,0.28389745778778336,0.47736785901562057,-0.008619245673051864,,,,metis
email-Eu-core,kn,0.2,0.19734,2,8,0,0.0,0.47476512656782,0.3174040289349353,0.5053498704749878,-0.0012027737222887521,,,,metis
email-Eu-core,ld,0.2,0.20032,0,8,0,0.0,0.135039299559985,0.06648049574245887,0.1854064835587418,0.004216809320023274,,,,metis
email-Eu-core,ld,0.2,0.20032,1,8,0,0.0,0.135039299559985,0.06648049574245887,0.1854064835587418,0.0036017118292830047,,,,metis
email-Eu-core,ld,0.2,0.20032,2,8,0,0.0,0.164465426302116,0.09387140502516543,0.2131191091681188,0.010432674589137225,,,,metis
email-Eu-core,lsim,0.2,0.19995,0,8,0,0.0,0.5173999160252554,0.33946184003358526,0.5455020602380447,-0.0054858714973288255,,,,metis
email-Eu-core,lsim,0.2,0.19995,1,8,0,0.0,0.5173999160252554,0.33946184003358526,0.5455020602380447,0.004907753202480932,,,,metis
email-Eu-core,lsim,0.2,0.19995,2,8,0,0.0,0.5449971776541495,0.3684172801584669,0.5714922898597282,7.23306481036016e-06,,,,metis
email-Eu-core,mst_jaccard,0.2,0.20001,0,8,0,0.0,0.4761472183860149,0.28829955868733026,0.5066516434789943,0.0011935431483477267,,,,metis
email-Eu-core,mst_jaccard,0.2,0.20001,1,8,0,0.0,0.4761472183860149,0.28829955868733026,0.5066516434789943,-0.007835215400523309,,,,metis
email-Eu-core,mst_jaccard,0.2,0.20001,2,8,0,0.0,0.5100850610681701,0.33454871187254054,0.538613129157788,0.0020086573641157303,,,,metis
email-Eu-core,mst_random,0.2,0.20001,0,8,0,0.0,0.42087176908924867,0.2766934154220384,0.4545947557524782,0.0016644345517365653,,,,metis
email-Eu-core,mst_random,0.2,0.20001,1,8,0,0.0,0.4739447122941721,0.31081706385454994,0.5045772427454963,-0.003988540849288997,,,,metis
email-Eu-core,mst_random,0.2,0.20001,2,8,0,0.0,0.4538283412960205,0.3075567767803199,0.48563224685479944,0.0015554806132702553,,,,metis
email-Eu-core,lspar,0.2,0.20144,0,8,0,0.0,0.54070689815411,0.36715304938519266,0.5674518245091607,0.005900196425396903,,,,metis
email-Eu-core,lspar,0.2,0.20144,1,8,0,0.0,0.54070689815411,0.36715304938519266,0.5674518245091607,0.003450832155684388,,,,metis
email-Eu-core,lspar,0.2,0.20144,2,8,0,0.0,0.5587958051808966,0.37972110503485307,0.5844874030963726,-0.0029986451130882526,,,,metis
email-Eu-core,dspar,0.2,0.19715,0,8,0,0.0,0.45975070916712446,0.30379927266869033,0.49120975166782405,0.005408726827054397,,,,metis
email-Eu-core,dspar,0.2,0.19752,1,8,0,0.0,0.41718655919078695,0.2670016461961801,0.4511241378521679,-0.0011444859472671599,,,,metis
email-Eu-core,dspar,0.2,0.20232,2,8,0,0.0,0.4632640847679974,0.3070385003511296,0.4945185412854773,-0.004000000876570466,,,,metis
com-Amazon,baseline,1.0,1.0,100,300,105,0.0003135610682577651,,,,,0.17651776343433934,0.01237161096544132,1.0,leiden
com-Amazon,baseline,1.0,1.0,101,311,123,0.00036731439424481056,,,,,0.19542425031602345,0.012893245672791157,1.0,leiden
com-Amazon,baseline,1.0,1.0,102,308,91,0.00027175292582339646,,,,,0.1762868016228491,0.013686677877965136,1.0,leiden
com-Amazon,baseline,1.0,1.0,103,307,128,0.0003822458736856565,,,,,0.18008732980185121,0.012625708262850666,1.0,leiden
com-Amazon,baseline,1.0,1.0,104,304,110,0.00032849254769861107,,,,,0.205455664441212,0.012974256550287352,1.0,leiden
com-Amazon,kn,0.5,0.50038,300,3348,10000,0.029862958881691916,,,,,0.28393659567494434,0.035884446367004885,1.0,leiden
com-Amazon,kn,0.5,0.5001,301,3357,10403,0.0310664361246241,,,,,0.2891166530514297,0.036292503548713266,1.0,leiden
com-Amazon,kn,0.5,0.50028,302,3278,9699,0.02896408381935299,,,,,0.28832091634317936,0.03476796515380925,1.0,leiden
com-Amazon,resmatch,1.0,1.0,100,3349,534,0.0015946820042823484,,,,,0.24436250496534956,0.029785079563417957,56.0,leiden
com-Amazon,ld,0.5,0.50385,300,2769,7350,0.021949274778043558,,,,,0.33934479076010665,0.03713823443899724,1.0,leiden
com-Amazon,ld,0.5,0.50385,301,2758,7350,0.021949274778043558,,,,,0.33830667223577193,0.03570858290945142,1.0,leiden
com-Amazon,ld,0.5,0.50385,302,2759,7350,0.021949274778043558,,,,,0.34021917134687374,0.0361515783469354,1.0,leiden
