network,n,m,avg_deg,arm,detector,stochastic,target_ret,realized_ret,realized_ret_std,param,status,matched,m_sparse,mst_floor,lspar_floor,ld_floor,lsim_floor,kn_ret_k1,Q_base_mean,Q_base_std,Q_base_best,nc_base,Q_sparse_on_sparse,Q_orig_mean,Q_orig_std,Q_orig_max,dQ_naive,dQ_vs_base_mean,dQ_vs_base_best,dQ_vs_matched,Q_matched_best,n_restarts,budget,nc_sparse,frag_nodes,frag_node_frac,n_frag_clusters,n_singletons,max_cluster_frac,frag_nodes_base,frag_node_frac_base,resmatch_done,nc_resmatch,gamma_resmatch,Q_resmatch,dQ_vs_resmatch,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,T_leiden_orig,T_sparsify,T_leiden_sparse,T_pipeline,speedup_pipeline,speedup_detect_only
ca-HepTh,8638,24806,5.74345913405881,mst_jaccard,leiden,0,0.3482,0.34818189147786827,0.0,0,ok,1,8637,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9781117471042152,0.6840470418855813,0.0004908710015652037,0.6847215363566674,0.21674515372392678,-0.07731955149470715,-0.07831271973966092,-0.07805643198676926,0.7621034738723506,1,0.2793016206899968,95.33333333333333,0.0,0.0,0.0,0.0,0.015744385274369065,27,0.0031257235471173882,1,94,2.5,0.7507407510500462,-0.06669370916446493,,,,,,,0.3692162762046792,0.022439321037381887,0.2568622996526149,0.2793016206899968,1.321926723133772,1.437409369549419
ca-HepTh,8638,24806,5.74345913405881,mst_random,leiden,1,0.3482,0.34818189147786827,0.0,0,ok,1,8637,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9781117471042152,0.6840470418855813,0.0004908710015652037,0.6847215363566674,0.21674515372392678,-0.07731955149470715,-0.07831271973966092,-0.07805643198676926,0.7621034738723506,1,0.27685229266838485,95.33333333333333,0.0,0.0,0.0,0.0,0.015744385274369065,27,0.0031257235471173882,1,94,2.5,0.7507407510500462,-0.06669370916446493,,,,,,,0.3692162762046792,0.021938117026972275,0.25491417564141255,0.27685229266838485,1.333621884240375,1.448394445996033
ca-HepTh,8638,24806,5.74345913405881,lspar,leiden,0,0.3482,0.275981617350641,0.0,0.0,coarse_grid,0,6846,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.999028883762973,0.4529033333823292,0.0,0.4529033333823292,0.2376622903826846,-0.30846325999795926,-0.30945642824291303,-0.30920014049002137,0.7621034738723506,1,0.3692986424624299,1875.0,6733.0,0.779462838620051,1730.0,0.0,0.00358879370224589,27,0.0031257235471173882,1,1802,320.0,0.42545292971484255,0.027450403667486634,,,,,,,0.3692162762046792,0.04734912811545655,0.32194951434697333,0.3692986424624299,0.9997769657174976,1.1468142045611698
ca-HepTh,8638,24806,5.74345913405881,dspar,leiden,1,0.3482,0.34616625010078206,0.0004747110035920081,0.3482,ok,1,8587,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9533629515919397,0.488536174417692,0.012295210488579981,0.505790759887793,0.19199635821165129,-0.27283041896259647,-0.27382358720755023,-0.2735672994546586,0.7621034738723506,1,0.34939841627298546,1148.6666666666667,2383.3333333333335,0.27591263409739913,1052.0,525.3333333333334,0.016979239021378406,27,0.0031257235471173882,1,1158,144.0,0.5103481887462397,-0.02181201432854768,,,,,,,0.3692162762046792,0.0049587412892530365,0.3444396749837324,0.34939841627298546,1.0567199477979603,1.0719330641051061
ca-HepTh,8638,24806,5.74345913405881,kn,leiden,1,0.2,0.201496949662716,0.0030738953217625303,0.625,ok,1,4998,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9986056494248091,0.25349878756102684,0.0036193741268970266,0.2575885745106612,0.23723905604452067,-0.5078678058192616,-0.5088609740642154,-0.5086046863113237,0.7621034738723506,2,0.42034676667147625,3662.6666666666665,7272.333333333333,0.8419001312032106,3568.3333333333335,1993.0,0.005402485143165857,27,0.0031257235471173882,1,3654,1152.0,0.25047015082952656,0.0030286367315002782,,,,,,,0.3692162762046792,0.01263226733620589,0.4077144993352704,0.42034676667147625,0.8783611662540554,0.9055755358385391
ca-HepTh,8638,24806,5.74345913405881,ld,leiden,0,0.2,0.34656937837619933,0.0,,at_floor,0,8597,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9786664870569736,0.6065635576801715,0.0003056826201570527,0.6069796761139437,0.21729989367668512,-0.154803035700117,-0.15579620394507077,-0.1555399161921791,0.7621034738723506,1,0.2851346570338743,127.0,60.0,0.00694605232692753,10.0,0.0,0.023462221193177434,27,0.0031257235471173882,1,130,4.0,0.7330696801389865,-0.1265061224588151,,,,,,,0.3692162762046792,0.06640143104596063,0.2187332259879137,0.2851346570338743,1.294883898174524,1.6879752700446184
ca-HepTh,8638,24806,5.74345913405881,lsim,leiden,0,0.2,0.27255502700959444,0.0,,at_floor,0,6761,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9990126035194115,0.4520010319992888,5.551115123125783e-17,0.45200103199928876,0.237646010139123,-0.30936556138099963,-0.3103587296259534,-0.31010244187306174,0.7621034738723506,1,0.37452817770342034,1877.0,6680.0,0.7733271590645983,1730.0,0.0,0.00358879370224589,27,0.0031257235471173882,1,1802,320.0,0.42545292971484255,0.026548102284446262,,,,,,,0.3692162762046792,0.059613604040350765,0.3149145736630696,0.37452817770342034,0.9858170844946478,1.172433120226781
ca-HepTh,8638,24806,5.74345913405881,lspar,leiden,0,0.2,0.275981617350641,0.0,0.0,at_floor,0,6846,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.999028883762973,0.4529033333823292,0.0,0.4529033333823292,0.2376622903826846,-0.30846325999795926,-0.30945642824291303,-0.30920014049002137,0.7621034738723506,1,0.34650481975404546,1875.0,6733.0,0.779462838620051,1730.0,0.0,0.00358879370224589,27,0.0031257235471173882,1,1802,320.0,0.42545292971484255,0.027450403667486634,,,,,,,0.3692162762046792,0.02426430711057037,0.3222405126434751,0.34650481975404546,1.0655444171505455,1.145778577547069
ca-HepTh,8638,24806,5.74345913405881,dspar,leiden,1,0.2,0.19798973366658604,0.0010093424686615482,0.2,ok,1,4911,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.9948205793312294,0.26080995826926284,0.007216167299113608,0.27073895818067534,0.2334539859509409,-0.5005566351110255,-0.5015498033559793,-0.5012935156030878,0.7621034738723506,2,0.4509108219256935,3840.6666666666665,6505.0,0.7530678397777263,3752.6666666666665,2462.3333333333335,0.011268040441460214,27,0.0031257235471173882,1,3893,1280.0,0.23427750322100938,0.026532455048253467,,,,,,,0.3692162762046792,0.005072865285910666,0.4458379566397828,0.4509108219256935,0.818823275582246,0.8281400690677161
email-Eu-core,986,16064,32.5841784989858,kn,leiden,1,0.5,0.5030710491367861,0.0013412485567058706,12.5,ok,1,8081,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.5101564766447036,0.40596672515821514,0.0023081684874656254,0.4076993701302856,0.09410804121560323,-0.01008171027088528,-0.010463651365446303,-0.008623024967279014,0.41458975012549415,1,0.06555757799651474,9.666666666666666,0.0,0.0,0.0,0.0,0.1815415821501014,0,0.0,0,,,,,0.6167600584958833,0.41273141206795105,0.6437455203361336,-0.004257480890820289,,,0.07988559198565781,0.007501710671931505,0.05805586732458323,0.06555757799651474,1.2185561826262832,1.3760123768201975
