arm,gen,detector,is_proxy,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,k_fixed,sparsifier,target_ret,realized_ret,knob,status,m_sparse,Q_base,AMI_base,ARI_base,nc_base,cv_base,T_base,Q_orig_transfer,AMI,ARI,nc_sparse,cv_sparse,AMI_chance,ARI_chance,T_sparsify,T_detect_sparse,T_pipeline,dQ,dAMI,dARI,dcv,speedup_pipeline,speedup_detect_only
B,sbm,metis,0,10,2,0,0,11.183,0.57853,ok,2.327,10000,55668,11.1336,100,0.5790579866350507,100,100,2,26,0.295925453001744,100,random,0.5,0.5,0.5,ok,27834,0.38657463986144885,0.815967914422123,0.707521047162818,100,0.016852299546352714,0.2695550770149566,0.21870254937053327,0.19901144771574658,0.048764349611858084,100,0.014696938456699069,0.0015402441858695718,0.00019165606882133498,0.0011071990011259913,0.16283206798834726,0.16393926698947325,-0.1678720904909156,-0.6169564667063765,-0.65875669755096,-0.0021553610896536454,1.644237417703381,1.6554176357586197
B,sbm,metis,0,10,2,0,0,11.183,0.57853,ok,2.327,10000,55668,11.1336,100,0.5790579866350507,100,100,2,26,0.295925453001744,100,random,0.2,0.20001,0.2,ok,11134,0.38657463986144885,0.815967914422123,0.707521047162818,100,0.016852299546352714,0.2695550770149566,0.1611408742591609,0.12686159669726507,0.019490682600499666,100,0.01649242250247064,-0.0005916139238570411,-5.3730066448336764e-05,0.0009887049673125148,0.06710400903830305,0.06809271400561556,-0.22543376560228795,-0.689106317724858,-0.6880303645623184,-0.0003598770438820731,3.9586478663888562,4.016974259482683
B,sbm,metis,0,10,2,0,0,11.183,0.57853,ok,2.327,10000,55668,11.1336,100,0.5790579866350507,100,100,2,26,0.295925453001744,100,random,0.15,0.15,0.15,ok,8350,0.38657463986144885,0.815967914422123,0.707521047162818,100,0.016852299546352714,0.2695550770149566,0.14062971058326174,0.13299935549391356,0.020490426000087707,100,0.016370705543744903,0.0014276934497805512,0.00010340028577584745,0.0009714019834063947,0.04288396402262151,0.04385536600602791,-0.24594492927818712,-0.6829685589282095,-0.6870306211627304,-0.00048159400260781166,6.146455988485112,6.285684711253953
B,sbm,metis,0,10,2,0,0,11.183,0.57853,ok,2.327,10000,55668,11.1336,100,0.5790579866350507,100,100,2,26,0.295925453001744,100,random,0.05,0.04999,0.05,ok,2783,0.38657463986144885,0.815967914422123,0.707521047162818,100,0.016852299546352714,0.2695550770149566,0.055235611507736204,0.11813766529623887,0.015310537382618013,100,0.006164414002968977,-0.0011252175735789176,-0.00010238189312786895,0.0007100019720382988,0.007448947057127953,0.008158949029166251,-0.33133902835371265,-0.6978302491258841,-0.6922105097802,-0.010687885543383738,33.03796555798584,36.18700400844135
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,lspar,0.5,0.49244,0.425781,ok,27526,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.3728086821844291,0.7872629989190078,0.6743512172867797,100,0.0151657508881031,-0.0022658546038865817,-0.00024712309599547565,0.07564244803506881,0.15502085397019982,0.23066330200526863,-0.012976727153810097,-0.02477292201894732,-0.02324331795665402,-0.0037022113760101054,1.1096800433972906,1.6511485804908117
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,lspar,0.2,0.16042,0.0,ok,8967,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.1903750948356643,0.31536819945359146,0.06386721838615717,100,0.013490737563232042,0.0019544562763483602,0.00020424404005498127,0.0728306689998135,0.010291646991390735,0.08312231599120423,-0.19541031450257487,-0.4966677214843636,-0.6337273168572766,-0.005377224700881164,3.0793471034475757,24.870894152654962
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,lspar,0.15,0.16042,0.0,floor,8967,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.1903750948356643,0.31536819945359146,0.06386721838615717,100,0.013490737563232042,-0.00034512174609240107,-7.938671520285593e-06,0.03572641999926418,0.009731692029163241,0.04545811202842742,-0.19541031450257487,-0.4966677214843636,-0.6337273168572766,-0.005377224700881164,5.630732372239781,26.301948542177332
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,lspar,0.05,0.16042,0.0,floor,8967,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.1903750948356643,0.31536819945359146,0.06386721838615717,100,0.013490737563232042,0.00018584647591488322,2.6745040948748413e-05,0.03576759103452787,0.009867245971690863,0.04563483700621873,-0.19541031450257487,-0.4966677214843636,-0.6337273168572766,-0.005377224700881164,5.60892685876118,25.94061845764516
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,dspar,0.5,0.49985,0.5,ok,27940,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.2177281604531035,0.19842651601777897,0.046792326389097194,100,0.015874507866387545,0.0004625840823808235,-3.108699212990072e-05,0.009729098004754633,0.16436608496587723,0.17409518297063187,-0.16805724888513568,-0.6136094049201761,-0.6508022088543366,-0.002993454397725661,1.4702443721406537,1.5572705466125036
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,dspar,0.2,0.1993,0.2,ok,11140,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.1619992239789712,0.12169520336677159,0.017543080941239856,100,0.01849324200890693,0.0020138271323028073,0.00013937010710562433,0.009382419986650348,0.06538519205059856,0.07476761203724891,-0.22378618535926798,-0.6903407175711835,-0.6800514543021938,-0.0003747202552062748,3.423440390898795,3.914685496087423
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,dspar,0.15,0.14893,0.15,ok,8325,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.13903049467860154,0.11889023359946048,0.016785252857730564,100,0.016852299546352714,-0.0004586181119339364,-2.848080421065057e-06,0.01094664802076295,0.04054202401312068,0.05148867203388363,-0.24675491465963764,-0.6931456873384946,-0.6808092823857032,-0.0020156627177604913,4.971238388337638,6.313509727499824
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,dspar,0.05,0.05016,0.05,ok,2804,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.054323081554605156,0.11605213198197745,0.01496145910679962,100,0.0069282032302755096,1.7394048180706257e-05,1.3817850189777263e-05,0.0107683070236817,0.006848116987384856,0.017616424011066556,-0.33146232778363405,-0.6959837889559777,-0.6826330761366342,-0.011939759033837696,14.52976284055007,37.377057583987806
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,random,0.5,0.49999,0.5,ok,27948,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.21740635835008634,0.19187199381800682,0.04152095333362563,100,0.013190905958272919,0.0017689035689258832,0.00015331999449381237,0.0009641260257922113,0.1611190619878471,0.1620831880136393,-0.16837905098815284,-0.6201639271199483,-0.6560735819098081,-0.005677056305840287,1.5792042723013915,1.5886541283282523
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,random,0.2,0.19999,0.2,ok,11179,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.16012232746551977,0.12555598235306634,0.019524848373349946,100,0.017262676501632067,-0.001413060531432872,-0.0001335558577529524,0.000997134018689394,0.06211897300090641,0.0631161070195958,-0.2256630818727194,-0.6864799385848888,-0.6780696868700837,-0.0016052857624811387,4.0554222220945855,4.1205198768439715
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,random,0.15,0.15001,0.15,ok,8385,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.13853968384097046,0.12281854865783613,0.01817376494904058,100,0.01805547008526779,0.0016929441634333893,0.00017013388433846898,0.000974122027400881,0.04542415199102834,0.04639827401842922,-0.24724572549726873,-0.6892173722801189,-0.6794207702943932,-0.0008124921788454156,5.516637599012876,5.634942024452623
B,sbm,metis,0,10,3,0,0,11.183,0.57853,ok,2.327,10000,55897,11.1794,100,0.5790113959604272,100,100,2,26,0.2993419283538197,100,random,0.05,0.05,0.05,ok,2795,0.3857854093382392,0.8120359209379551,0.6975945352434337,100,0.018867962264113206,0.25596246297936887,0.054950114174539676,0.11862072117717694,0.015488013472053792,100,0.006324555320336759,0.00017013312792203824,5.737258992193894e-06,0.0008859040099196136,0.007617530005518347,0.00850343401543796,-0.3308352951636995,-0.6934151997607781,-0.68210652177138,-0.012543406943776446,30.101070051777874,33.60176629352856
