gen,het_deg,het_size,d_nom,graph_seed,d_avg,mu_real,deg_cv,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,worstcase_dQ,worstcase_dAMI
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,lspar,0.2,0.16068,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.1921756520170711,0.00017445420550909574,0.19184820951710405,0.19243977619778266,0.31977101372704164,0.0016534429739862406,0.31694815334145116,0.3221706918303908,-0.1947539927784998,-0.4968812152352411,-0.2022145595615831,-0.5302860077664278
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,lspar,0.15,0.16068,floor,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.1921756520170711,0.00017445420550909574,0.19184820951710405,0.19243977619778266,0.31977101372704164,0.0016534429739862406,0.31694815334145116,0.3221706918303908,-0.1947539927784998,-0.4968812152352411,-0.2022145595615831,-0.5302860077664278
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,dspar,0.5,0.50435,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.2175798285316005,0.0006665866674858788,0.21663733353853476,0.21893303807803083,0.18600659973072822,0.003670625642718609,0.18260414215564627,0.19452850505496494,-0.16934981626397042,-0.6306456292315545,-0.1774254355401524,-0.6646300189522327
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,dspar,0.2,0.20003,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.16303402689524632,0.00036946067935086105,0.16252704940161242,0.16362493113679236,0.12022256751976004,0.0012656998270574608,0.11815054575543509,0.12250241523379361,-0.22389561790032458,-0.6964296614425227,-0.23153571967707473,-0.7290836153524439
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,dspar,0.15,0.14917,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.14001604073037144,0.0005776380651836726,0.1393761226566071,0.14097488207902564,0.1200073525671822,0.0015372535616929306,0.11769348033388892,0.12261842715884393,-0.24691360406519947,-0.6966448763951005,-0.25468664642208005,-0.72954068077399
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,random,0.5,0.5,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.21889909398178697,0.0011519555558242554,0.21697899736770254,0.2211248530839501,0.20001112389146458,0.006432497428207856,0.18637057962254436,0.21129885665305104,-0.16803055081378393,-0.6166411050708182,-0.1770837717109846,-0.6608635814853346
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,random,0.2,0.20001,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.1606960866777964,0.00038809371900176394,0.1598804754249613,0.1611408742591609,0.12578385682640103,0.002062627326282188,0.1228808913625724,0.13071054450810032,-0.2262335581177745,-0.6908683721358817,-0.23418229365372584,-0.7243532697453066
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,random,0.15,0.15,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.13984216718158313,0.0005245280541125952,0.13899097037684116,0.14062971058326174,0.13027800719668226,0.001697022714094785,0.12822184406781112,0.13299935549391356,-0.24708747761398778,-0.6863742217656005,-0.255071798701846,-0.7190123170400678
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,lspar,0.5,0.49244,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.3635631906810607,0.0058049105863540425,0.3559882513674795,0.3728086821844291,0.7625230078722371,0.016275078299979727,0.7401437976202195,0.7872629989190078,-0.02163199897842416,-0.045600682890425515,-0.04055699144905428,-0.11282467688867626
sbm,0,0,10,3,11.1794,0.5790113959604272,0.2993419283538197,55897,100,lspar,0.2,0.16042,ok,10,0.38519518965948485,0.007246330227424131,0.370139918938288,0.3965452428165338,0.8081236907626627,0.026566976066699045,0.7519379446349462,0.8529684745088958,0.19144493198216286,0.0006585989657942488,0.1903750948356643,0.19221802659878812,0.31647480474562084,0.001715476859320099,0.31390941160469343,0.3190495739841469,-0.19375025767732199,-0.4916488860170418,-0.2061701479808695,-0.5390590629042024
