dataset,arm,graph,alpha,seed,n,m,m_sparse,retention,Q_base_mean,Q_base_std,Q_sparse,Q_on_orig,paper_delta,honest_delta,Q_fixed_full,Q_fixed_sparse,dQ_fixed
email-Enron,artifact1,real,0.9,1,33696,180811,162791,0.9003379219184674,0.6110691774696152,0.0019597392865066017,0.6075420715479528,0.5971948776973789,-0.003527105921662388,-0.01387429977223631,,,
email-Enron,artifact1,real,0.9,2,33696,180811,162601,0.8992871008954101,0.6110691774696152,0.0019597392865066017,0.6143352970429427,0.6047759827228352,0.003266119573327453,-0.006293194746780029,,,
email-Enron,null,real,0.8,0,33696,180811,144818,0.8009357837742173,,,,,,,0.6128146472538636,0.6131739234438199,0.0003592761899563479
email-Enron,null,real,0.8,1,33696,180811,144806,0.8008694161306558,,,,,,,0.6128146472538636,0.6128193328464943,4.685592630671032e-06
email-Enron,null,real,0.8,2,33696,180811,144726,0.800426965173579,,,,,,,0.6128146472538636,0.612739400821212,-7.524643265155451e-05
email-Enron,null,real,0.9,0,33696,180811,162834,0.9005757393078961,,,,,,,0.6128146472538636,0.6130654585125931,0.0002508112587294997
email-Enron,null,real,0.9,1,33696,180811,162721,0.8999507773310252,,,,,,,0.6128146472538636,0.6128448564347816,3.0209180918006062e-05
email-Enron,null,real,0.9,2,33696,180811,162725,0.8999728998788791,,,,,,,0.6128146472538636,0.6131006589573634,0.0002860117034998444
email-Enron,null,rewired,0.8,0,33696,180811,144818,0.8009357837742173,,,,,,,0.2418207647967496,0.24193172509889407,0.00011096030214446939
email-Enron,null,rewired,0.8,1,33696,180811,144806,0.8008694161306558,,,,,,,0.2418207647967496,0.2418518037404963,3.103894374670291e-05
email-Enron,null,rewired,0.8,2,33696,180811,144726,0.800426965173579,,,,,,,0.2418207647967496,0.24241284008975642,0.0005920752930068107
email-Enron,null,rewired,0.9,0,33696,180811,162834,0.9005757393078961,,,,,,,0.2418207647967496,0.24177972196740324,-4.10428293463605e-05
email-Enron,null,rewired,0.9,1,33696,180811,162721,0.8999507773310252,,,,,,,0.2418207647967496,0.24199235093002608,0.00017158613327647454
email-Enron,null,rewired,0.9,2,33696,180811,162725,0.8999728998788791,,,,,,,0.2418207647967496,0.24229205828931086,0.0004712934925612533
ca-CondMat,null_retmatched,real,0.4723,0,21363,91286,43104,0.4721863155357886,,,,,,,0.7288254940674663,0.727200767136417,-0.001624726931049314
ca-CondMat,null_retmatched,real,0.4723,1,21363,91286,43195,0.4731831825252503,,,,,,,0.7288254940674663,0.7315774761982814,0.002751982130815067
ca-CondMat,null_retmatched,real,0.4723,2,21363,91286,43181,0.47302981837302543,,,,,,,0.7288254940674663,0.7262667461356312,-0.0025587479318350814
ca-CondMat,null_retmatched,rewired,0.4723,0,21363,91286,43104,0.4721863155357886,,,,,,,0.31179306880290003,0.3098484024166925,-0.0019446663862075497
ca-CondMat,null_retmatched,rewired,0.4723,1,21363,91286,43195,0.4731831825252503,,,,,,,0.31179306880290003,0.31277347786088555,0.0009804090579855207
ca-CondMat,null_retmatched,rewired,0.4723,2,21363,91286,43181,0.47302981837302543,,,,,,,0.31179306880290003,0.310060015909235,-0.0017330528936650436
email-Enron,null_retmatched,real,0.3889,0,33696,180811,70538,0.3901200701284767,,,,,,,0.6128146472538636,0.6119560787014213,-0.0008585685524422626
email-Enron,null_retmatched,real,0.3889,1,33696,180811,70204,0.38827283738268137,,,,,,,0.6128146472538636,0.6140462021063465,0.0012315548524829412
email-Enron,null_retmatched,real,0.3889,2,33696,180811,70401,0.3893623728644828,,,,,,,0.6128146472538636,0.6125189462648177,-0.00029570098904585507
email-Enron,null_retmatched,rewired,0.3889,0,33696,180811,70538,0.3901200701284767,,,,,,,0.2418207647967496,0.24189318374884924,7.241895209963989e-05
email-Enron,null_retmatched,rewired,0.3889,1,33696,180811,70204,0.38827283738268137,,,,,,,0.2418207647967496,0.2408596154629835,-0.0009611493337660926
email-Enron,null_retmatched,rewired,0.3889,2,33696,180811,70401,0.3893623728644828,,,,,,,0.2418207647967496,0.23981289710265075,-0.0020078676940988582
com-DBLP,baseline,real,1.0,0,317080,1049866,1049866,1.0,0.825782289582986,0.0011578893559518768,0.8242344596276509,,,,,,
com-DBLP,baseline,real,1.0,1,317080,1049866,1049866,1.0,0.825782289582986,0.0011578893559518768,0.8253676329384199,,,,,,
com-DBLP,baseline,real,1.0,2,317080,1049866,1049866,1.0,0.825782289582986,0.0011578893559518768,0.82552146771651,,,,,,
com-DBLP,baseline,real,1.0,3,317080,1049866,1049866,1.0,0.825782289582986,0.0011578893559518768,0.8272513896334854,,,,,,
com-DBLP,baseline,real,1.0,4,317080,1049866,1049866,1.0,0.825782289582986,0.0011578893559518768,0.8265364979988642,,,,,,
com-DBLP,artifact1,real,0.8,0,317080,1049866,839929,0.8000344805908564,0.825782289582986,0.0011578893559518768,0.8327024996110066,0.7999110779183713,0.006920210028020568,-0.0258712116646147,,,
com-DBLP,artifact1,real,0.8,1,317080,1049866,840858,0.8009193554225016,0.825782289582986,0.0011578893559518768,0.8336977497029746,0.801207702863024,0.00791546011998856,-0.024574586719962044,,,
com-DBLP,artifact1,real,0.8,2,317080,1049866,840078,0.8001764034648231,0.825782289582986,0.0011578893559518768,0.834441639297535,0.8019912710925271,0.008659349714548958,-0.02379101849045895,,,
com-DBLP,artifact1,real,0.9,0,317080,1049866,944550,0.8996862456732574,0.825782289582986,0.0011578893559518768,0.8295783611674388,0.815731236100252,0.0037960715844527204,-0.010051053482734051,,,
com-DBLP,artifact1,real,0.9,1,317080,1049866,945349,0.9004472951786228,0.825782289582986,0.0011578893559518768,0.8294222843224643,0.8160101591777568,0.0036399947394782917,-0.009772130405229285,,,
com-DBLP,artifact1,real,0.9,2,317080,1049866,945116,0.9002253620938291,0.825782289582986,0.0011578893559518768,0.8302310155242688,0.8162768690093706,0.004448725941282761,-0.009505420573615475,,,
com-DBLP,null,real,0.8,0,317080,1049866,840682,0.800751714980769,,,,,,,0.8242344596276509,0.8242702208777859,3.576125013504683e-05
com-DBLP,null,real,0.8,1,317080,1049866,839420,0.7995496568133457,,,,,,,0.8242344596276509,0.8241156447459437,-0.00011881488170717436
com-DBLP,null,real,0.8,2,317080,1049866,839436,0.7995648968535032,,,,,,,0.8242344596276509,0.8244521228266691,0.0002176631990182809
com-DBLP,null,real,0.9,0,317080,1049866,945234,0.9003377573899907,,,,,,,0.8242344596276509,0.8241680355739675,-6.642405368340043e-05
com-DBLP,null,real,0.9,1,317080,1049866,944503,0.8996414780552947,,,,,,,0.8242344596276509,0.8241256792131189,-0.00010878041453199483
