network,n,m,avg_deg,arm,k_convention,detector,stochastic,target_ret,realized_ret,realized_ret_std,param,status,matched,m_sparse,mst_floor,lspar_floor,ld_floor,lsim_floor,kn_ret_k1,Q_base_mean,Q_base_std,Q_base_best,nc_base,Q_sparse_on_sparse,Q_orig_mean,Q_orig_std,Q_orig_max,dQ_naive,dQ_vs_base_mean,dQ_vs_base_best,dQ_vs_matched,Q_matched_best,n_restarts,budget,nc_sparse,frag_nodes,frag_node_frac,n_frag_clusters,n_singletons,max_cluster_frac,frag_nodes_base,frag_node_frac_base,resmatch_done,nc_resmatch,gamma_resmatch,Q_resmatch,dQ_vs_resmatch,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,T_leiden_orig,T_sparsify,T_leiden_sparse,T_pipeline,speedup_pipeline,speedup_detect_only
ca-HepTh,8638,24806,5.74345913405881,ld,nc_base,metis,0,0.2,0.34656937837619933,0.0,,ok,0,8597,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9621111313598969,0.5960091784471965,0.0028361419952844316,0.6002610906445515,,-0.13144370597217925,-0.13371024342804838,-0.1379064419846403,0.7297194218752449,10,0.12558296299539506,49.0,0.0,0.0,0.0,0.0,0.021069692058346835,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.10962202900554985,0.015960933989845216,0.12558296299539506,0.4999678197283102,3.9338199283184694
ca-HepTh,8638,24806,5.74345913405881,lsim,nc_base,metis,0,0.2,0.2725550270095944,5.551115123125783e-17,,ok,0,6761,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9795842897836615,0.4435953091937968,0.0007865814411189776,0.444678182336957,,-0.2838575752255789,-0.28612411268144805,-0.28783361627501663,0.7297194218752449,10,0.0696213333401829,49.0,0.0,0.0,0.0,0.0,0.020791849965269737,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.06391838093986735,0.005702952400315553,0.0696213333401829,0.9018419669878701,11.009637779960185
ca-HepTh,8638,24806,5.74345913405881,lspar,nc_base,metis,0,0.2,0.275981617350641,0.0,0.0,floor,0,6846,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9795760902878222,0.4454852797269823,0.0010211262933388012,0.4474464544210003,,-0.2819676046923934,-0.28423414214826254,-0.28560480087390566,0.7297194218752449,10,0.030488044797675685,49.0,0.0,0.0,0.0,0.0,0.020733966195878677,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.024433284997940063,0.0060547597997356204,0.030488044797675685,2.059411832424736,10.369930811552646
ca-HepTh,8638,24806,5.74345913405881,dspar,nc_base,metis,1,0.2,0.19806901556075143,0.0009866435860134489,0.2,ok,1,4913,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9779733594749296,0.25804891820398906,0.007592822731561876,0.2671486154635273,,-0.46940396621538666,-0.4716705036712558,-0.48071910312991134,0.7297194218752449,10,0.010355412564240395,49.0,0.0,0.0,0.0,0.0,0.020872887242417225,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.004042040964122862,0.006313371600117535,0.010355412564240395,6.063248548942232,9.94515200129513
email-Eu-core,986,16064,32.5841784989858,kn,nc_base,metis,1,0.5,0.5031499003984065,0.0012942220114458259,12.5,ok,1,8083,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3678733502711018,0.009648993374563205,0.38023840736406966,8,0.4882675282138604,0.3853521131640023,0.005317154852573924,0.3922837755210482,,0.017478762892900512,0.005113705799932644,-0.004453031065479174,0.38023840736406966,10,0.013319001294439659,8.0,0.0,0.0,0.0,0.0,0.12586206896551727,0,0.0,0,,,,,0.5335737038332957,0.368981832703714,0.5587117919102499,-0.0018396047649451262,,,0.01074766792007722,0.006107844004873186,0.0072111572895664725,0.013319001294439659,0.8069424788301579,1.490422062437548
email-Eu-core,986,16064,32.5841784989858,ld,nc_base,metis,0,0.5,0.4999377490039841,0.0,,ok,1,8031,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3678733502711018,0.009648993374563205,0.38023840736406966,8,0.23453570161235965,0.26164762598944363,0.009792375352486223,0.27780641045442234,,-0.10622572428165816,-0.11859078137462603,-0.13315177257851074,0.38023840736406966,10,0.06533915865584276,8.0,0.0,0.0,0.0,0.0,0.12626774847870184,0,0.0,0,,,,,0.30791372824930474,0.17803620375380785,0.32733338705929765,-0.001800327585940193,,,0.01074766792007722,0.058144866954535246,0.00719429170130752,0.06533915865584276,0.16449045474686627,1.4939160609965112
email-Eu-core,986,16064,32.5841784989858,lsim,nc_base,metis,0,0.5,0.5001245019920317,1.1102230246251565e-16,,ok,1,8034,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3678733502711018,0.009648993374563205,0.38023840736406966,8,0.6342807119406453,0.3530700194351454,0.005344658757605346,0.36232146124478676,,-0.014803330835956419,-0.027168387928924287,-0.03440085601939846,0.38023840736406966,10,0.06656886443379335,8.0,0.0,0.0,0.0,0.0,0.12626774847870184,0,0.0,0,,,,,0.48936835077596463,0.3135022977189554,0.5063329648787221,-0.004718951422111617,,,0.01074766792007722,0.06044965592445806,0.0061192085093352945,0.06656886443379335,0.16145187410799844,1.7563820392262948
email-Eu-core,986,16064,32.5841784989858,mst_jaccard,nc_base,metis,0,0.5,0.5,0.0,7047,ok,1,8032,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3678733502711018,0.009648993374563205,0.38023840736406966,8,0.6286622140050356,0.3468135230724884,0.0056254362027291305,0.35387692801379156,,-0.02105982719861338,-0.03342488429158125,-0.04265459831800794,0.38023840736406966,10,0.07397091109887696,8.0,0.0,0.0,0.0,0.0,0.12768762677484785,0,0.0,0,,,,,0.47934317727399456,0.3301911615302899,0.527489569603541,0.0003400246402349811,,,0.01074766792007722,0.06798460299614817,0.005986308102728799,0.07397091109887696,0.14529587050389045,1.7953750016939494
email-Eu-core,986,16064,32.5841784989858,mst_random,nc_base,metis,1,0.5,0.5,0.0,7047,ok,1,8032,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3678733502711018,0.009648993374563205,0.38023840736406966,8,0.4205798661677989,0.3635655476326765,0.014007589674534277,0.38383573718385916,,-0.004307802638425284,-0.016672859731393153,-0.0418012841872053,0.38023840736406966,10,0.07473035920993425,8.0,0.0,0.0,0.0,0.0,0.1259634888438134,0,0.0,0,,,,,0.4714079911978136,0.3563158100823173,0.5335898687124827,-0.005236760008480621,,,0.01074766792007722,0.06718762801028788,0.0075427311996463684,0.07473035920993425,0.14381929959529063,1.424904008322756
email-Eu-core,986,16064,32.5841784989858,lspar,nc_base,metis,0,0.5,0.5020542828685259,0.0,0.7265625,ok,1,8065,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3678733502711018,0.009648993374563205,0.38023840736406966,8,0.6406604122041579,0.35695374220095466,0.006631112259732778,0.3666342900001092,,-0.010919608070147135,-0.023284665163115004,-0.03290572381167561,0.38023840736406966,10,0.07661858213832602,8.0,0.0,0.0,0.0,0.0,0.1261663286004057,0,0.0,0,,,,,0.5068733138458482,0.34776973881623185,0.5406508502310143,0.004651997228062898,,,0.01074766792007722,0.07054310705279931,0.006075475085526705,0.07661858213832602,0.14027495184749758,1.7690250998939725
