comparison,part_a,part_b,ami
extra-seeded,extra_905,seeded_302,0.7242849669915377
extra-seeded,extra_905,seeded_303,0.7092052473703422
extra-seeded,extra_905,seeded_304,0.7258765673543176
extra-seeded,extra_906,seeded_300,0.7215730533109395
extra-seeded,extra_906,seeded_301,0.6517726715321156
extra-seeded,extra_906,seeded_302,0.6815107588557645
extra-seeded,extra_906,seeded_303,0.710841618833903
extra-seeded,extra_906,seeded_304,0.707714338111195
extra-seeded,extra_907,seeded_300,0.7648631629029646
extra-seeded,extra_907,seeded_301,0.6794744781309858
extra-seeded,extra_907,seeded_302,0.7493618858557584
extra-seeded,extra_907,seeded_303,0.7902382858117143
extra-seeded,extra_907,seeded_304,0.7512784390061258
extra-seeded,extra_908,seeded_300,0.6693553849955965
extra-seeded,extra_908,seeded_301,0.68745773792591
extra-seeded,extra_908,seeded_302,0.6863700278668775
extra-seeded,extra_908,seeded_303,0.6539269800847426
extra-seeded,extra_908,seeded_304,0.6822961061051052
extra-seeded,extra_909,seeded_300,0.7106589042555717
extra-seeded,extra_909,seeded_301,0.6971617392449401
extra-seeded,extra_909,seeded_302,0.7302632632093784
extra-seeded,extra_909,seeded_303,0.7274261098184139
extra-seeded,extra_909,seeded_304,0.71618352062463
extra-seeded,extra_910,seeded_300,0.6818323955070833
extra-seeded,extra_910,seeded_301,0.6825039016710542
extra-seeded,extra_910,seeded_302,0.6856582867766636
extra-seeded,extra_910,seeded_303,0.6869767531947806
extra-seeded,extra_910,seeded_304,0.7181842644257085
extra-seeded,extra_911,seeded_300,0.7178054987665782
extra-seeded,extra_911,seeded_301,0.7015854247419734
extra-seeded,extra_911,seeded_302,0.7200496923339513
extra-seeded,extra_911,seeded_303,0.7492987223948199
extra-seeded,extra_911,seeded_304,0.7346188548723275
extra-seeded,extra_912,seeded_300,0.6857849683456484
extra-seeded,extra_912,seeded_301,0.6435291387450196
extra-seeded,extra_912,seeded_302,0.6642937429948699
extra-seeded,extra_912,seeded_303,0.6686092754454411
extra-seeded,extra_912,seeded_304,0.6607458480743023
extra-seeded,extra_913,seeded_300,0.6702980665715117
extra-seeded,extra_913,seeded_301,0.7088237028974269
extra-seeded,extra_913,seeded_302,0.6913744506292877
extra-seeded,extra_913,seeded_303,0.6975587209257886
extra-seeded,extra_913,seeded_304,0.7146276030566763
extra-seeded,extra_914,seeded_300,0.7069487940344503
extra-seeded,extra_914,seeded_301,0.6827479887153909
extra-seeded,extra_914,seeded_302,0.7041790797910537
extra-seeded,extra_914,seeded_303,0.7100282188195174
extra-seeded,extra_914,seeded_304,0.7429336940775496
extra-seeded,extra_915,seeded_300,0.7103417636550552
extra-seeded,extra_915,seeded_301,0.6542115296739156
extra-seeded,extra_915,seeded_302,0.7035953850232969
extra-seeded,extra_915,seeded_303,0.6981726308807159
extra-seeded,extra_915,seeded_304,0.7161277902650314
extra-seeded,extra_916,seeded_300,0.7327925169279195
extra-seeded,extra_916,seeded_301,0.657367501758569
extra-seeded,extra_916,seeded_302,0.7469361353665204
extra-seeded,extra_916,seeded_303,0.7334551744990879
