base_comm,seeded_comm,size_base,size_seeded,overlap,jaccard,L_base,L_seeded,vol_base,vol_seeded,contrib_base,contrib_seeded,d_contrib,status
-1,114,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,115,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,121,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,126,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,128,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,133,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,134,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,138,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,139,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
-1,140,0,4,0,0.0,0.0,6.0,0.0,13.0,0.0,3.318252944006888e-05,3.318252944006888e-05,seeded_only
123,-1,4,0,0,0.0,6.0,0.0,15.0,0.0,3.318210120883578e-05,0.0,-3.318210120883578e-05,base_only
27,27,145,147,145,0.9863945578231292,407.0,413.0,892.0,907.0,0.0022448848124161504,0.002277862280271454,3.297746785530355e-05,matched
134,-1,4,0,0,0.0,5.0,0.0,11.0,0.0,2.7652259531952453e-05,0.0,-2.7652259531952453e-05,base_only
-1,137,0,4,0,0.0,0.0,5.0,0.0,11.0,0.0,2.7652259531952453e-05,2.7652259531952453e-05,seeded_only
145,-1,4,0,0,0.0,4.0,0.0,9.0,0.0,2.2121928447945587e-05,0.0,-2.2121928447945587e-05,base_only
5,5,2093,2080,2059,0.9739829706717124,3234.0,3238.0,7456.0,7480.0,0.017460969166544278,0.017480350545099135,1.938137855485647e-05,matched
146,-1,3,0,0,0.0,3.0,0.0,7.0,0.0,1.659153618804828e-05,0.0,-1.659153618804828e-05,base_only
147,-1,3,0,0,0.0,3.0,0.0,7.0,0.0,1.659153618804828e-05,0.0,-1.659153618804828e-05,base_only
