arm,mu,d_nom,lfr_seed,noise_pct,detector,sparsifier,target_ret,realized_ret,status,m_clean,m_noisy,n_added,d_avg_clean,d_avg_noisy,k_planted,m_sparse,AMI_base,ARI_base,Q_noisy_base,Q_clean_base,nc_base,AMI,ARI,Q_noisy_transfer,Q_clean_transfer,nc_sparse,cv_sparse,AMI_chance,dAMI,dARI,dQ_noisy,dQ_clean
C,0.5,25,1,100,metis,dspar,0.5,0.49961,ok,118093,236186,118093,23.6186,47.2372,91,118002,0.3661327826469286,0.20300757079894485,0.12372854453830016,0.1782429199776871,91,0.08476830558745166,0.02707974940058289,0.08126487015369183,0.07313721232405644,91,0.018322117781522967,-0.0013832924511454868,-0.281364477059477,-0.17592782139836197,-0.04246367438460834,-0.10510570765363066
C,0.5,25,1,100,leiden,dspar,0.2,0.19979,ok,118093,236186,118093,23.6186,47.2372,91,47187,0.4951470941700278,0.3743906982799217,0.19723501604117163,0.33016863823370884,20.666666666666668,0.011677977565399756,0.002306383977175403,0.06350748397602209,0.049102561772442876,14.333333333333334,0.7342101662563417,0.00021683695872554503,-0.48346911660462805,-0.3720843143027463,-0.13372753206514953,-0.28106607646126597
C,0.5,25,1,100,metis,dspar,0.2,0.19979,ok,118093,236186,118093,23.6186,47.2372,91,47187,0.3661327826469286,0.20300757079894485,0.12372854453830016,0.1782429199776871,91,0.02560956066348536,0.0035474899089939396,0.05525640759325435,0.040601598459765846,91,0.011949058540320235,4.748520781189063e-05,-0.34052322198344326,-0.1994600808899509,-0.06847213694504581,-0.13764132151792124
C,0.5,25,2,0,leiden,lspar,0.5,0.50197,ok,140216,140216,0,28.0432,28.0432,108,70384,0.7811872066582515,0.6733657985151793,0.3751932832760021,0.3751932832760021,38.0,0.7950069169017665,0.7277044149936426,0.3718966112115121,0.3718966112115121,46.666666666666664,0.5908111802528618,0.00016855995499868615,0.013819710243515027,0.054338616478463275,-0.003296672064490025,-0.003296672064490025
C,0.5,25,2,0,metis,lspar,0.5,0.50197,ok,140216,140216,0,28.0432,28.0432,108,70384,0.6041653495967533,0.3518597375860034,0.21836670507958134,0.21836670507958134,108,0.6471085227996719,0.38183557640680155,0.21815142155365871,0.21815142155365871,108,0.029210956848415633,0.0023473755684868263,0.04294317320291863,0.02997583882079813,-0.00021528352592262157,-0.00021528352592262157
C,0.5,25,2,0,leiden,lspar,0.2,0.19617,ok,140216,140216,0,28.0432,28.0432,108,27506,0.7811872066582515,0.6733657985151793,0.3751932832760021,0.3751932832760021,38.0,0.7591296967130825,0.7279591076868929,0.3613486433910918,0.3613486433910918,56.333333333333336,0.62296369836293,3.529824860028476e-05,-0.022057509945168974,0.05459330917171357,-0.013844639884910304,-0.013844639884910304
C,0.5,25,2,0,metis,lspar,0.2,0.19617,ok,140216,140216,0,28.0432,28.0432,108,27506,0.6041653495967533,0.3518597375860034,0.21836670507958134,0.21836670507958134,108,0.649157448115619,0.3685186031186298,0.19909972423375552,0.19909972423375552,108,0.02365417510715603,-1.9022385695196726e-05,0.044992098518865764,0.016658865532626355,-0.019266980845825815,-0.019266980845825815
C,0.5,25,2,0,leiden,dspar,0.5,0.50116,ok,140216,140216,0,28.0432,28.0432,108,70270,0.7811872066582515,0.6733657985151793,0.3751932832760021,0.3751932832760021,38.0,0.44316045455597924,0.2456505112229533,0.31372833987389465,0.31372833987389465,22.0,0.7952053507459919,0.0002570166368435758,-0.33802675210227223,-0.42771528729222597,-0.06146494340210745,-0.06146494340210745
C,0.5,25,2,0,metis,dspar,0.5,0.50116,ok,140216,140216,0,28.0432,28.0432,108,70270,0.6041653495967533,0.3518597375860034,0.21836670507958134,0.21836670507958134,108,0.4979624437398574,0.2702587981816211,0.18995581480826015,0.18995581480826015,108,0.02194903186931032,0.0006103849005527873,-0.1062029058568959,-0.08160093940438234,-0.028410890271321182,-0.028410890271321182
C,0.5,25,2,0,leiden,dspar,0.2,0.20017,ok,140216,140216,0,28.0432,28.0432,108,28067,0.7811872066582515,0.6733657985151793,0.3751932832760021,0.3751932832760021,38.0,0.09204449719732494,0.037265826321335745,0.11968550432745162,0.11968550432745162,121.66666666666667,2.385278064952045,-0.00020096598295100433,-0.6891427094609266,-0.6360999721938435,-0.2555077789485505,-0.2555077789485505
