arm,detector,mu,d_nom,lfr_seed,gen_mode,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,sparsifier,target_ret,realized_ret,knob,status,lspar_floor,m_sparse,Q_base_mean,Q_base_std,Q_base_best,AMI_base_mean,AMI_base_std,ARI_base_mean,nc_base,cv_base,T_leiden_orig,T_sparsify,T_detect_sparse,T_pipeline,Q_orig_transfer,Q_orig_transfer_std,AMI,AMI_std,ARI,AMI_chance,ARI_chance,nc_sparse,cv_sparse,budget,n_restarts,Q_matched_best,AMI_at_matched,ARI_at_matched,nc_matched,dQ_vs_matched,dQ_vs_base_best,dQ_vs_base_mean,dAMI_vs_base_mean,dAMI_vs_matched,dARI_vs_base_mean,speedup_pipeline,speedup_detect_only,Q_resmatch,AMI_resmatch,ARI_resmatch,nc_resmatch,gamma_resmatch
A,leiden,0.3,50,1,maxdeg_cap85_recal,10000,261301,52.2602,84,0.3905457690556101,20,440,11,607,1.1235331756245437,dspar,0.05,0.04973,0.05,ok,0.03346,12994,0.5780667282775639,1.435507741347124e-05,0.5780863585893272,0.9624389963566704,0.0014523663405333,0.9444004148622752,49.0,0.4859889471207628,1.0586618296001689,0.0462909970010514,0.3769019933339829,0.4231929903350344,0.0836547217149862,0.0047139430215838,0.1875108571851963,0.0028894429601274,0.0723432289651236,-0.0002289594804161,-6.876271233968822e-06,1332.3333333333333,4.559709577289048,0.4231929903350344,1,0.5780534203442513,0.963886596175076,0.9471494813214458,50,-0.4943986986292651,-0.494431636874341,-0.4944120065625776,-0.774928139171474,-0.7763757389898797,-0.8720571858971514,2.5016053048564086,2.8088517660400387,0.1950352595024578,0.6867230887285442,0.3020702296947068,824,30.0
A,leiden,0.3,50,1,maxdeg_cap85_recal,10000,261301,52.2602,84,0.3905457690556101,20,440,11,607,1.1235331756245437,random,0.5,0.5,0.5,ok,0.03346,130650,0.5780667282775639,1.435507741347124e-05,0.5780863585893272,0.9624389963566704,0.0014523663405333,0.9444004148622752,49.0,0.4859889471207628,1.0586618296001689,0.0039983500028029,0.7254035093307417,0.7294018593335446,0.5754706499218538,0.000181135077583,0.9305762722843974,0.0004036349031627,0.891989087607783,-0.0010745434039414,-0.0002283460570153,43.0,0.4360433442926588,0.7294018593335446,1,0.5780534203442513,0.963886596175076,0.9471494813214458,50,-0.0025827704223975,-0.0026157086674734,-0.00259607835571,-0.0318627240722728,-0.0333103238906785,-0.0524113272544921,1.4514109280821816,1.459410956774791,0.5776941106894515,0.9357152453649532,0.8684204081815851,39,0.75
A,leiden,0.3,50,1,maxdeg_cap85_recal,10000,261301,52.2602,84,0.3905457690556101,20,440,11,607,1.1235331756245437,random,0.2,0.2,0.2,ok,0.03346,52260,0.5780667282775639,1.435507741347124e-05,0.5780863585893272,0.9624389963566704,0.0014523663405333,0.9444004148622752,49.0,0.4859889471207628,1.0586618296001689,0.0037053720006952,0.5183772360008637,0.5220826080015589,0.5302479752641198,0.0024500101598468,0.764315879263881,0.006235187734539,0.6833177566200196,-0.0003338028753039,-0.0001649658796322,63.66666666666666,1.12433543251617,0.5220826080015589,1,0.5780534203442513,0.963886596175076,0.9471494813214458,50,-0.0478054450801315,-0.0478383833252074,-0.047818753013444,-0.1981231170927893,-0.199570716911195,-0.2610826582422555,2.0277668962246063,2.042261419053527,0.5778074793498937,0.9890659652859124,0.9906928112377577,70,2.0
A,leiden,0.3,50,1,maxdeg_cap85_recal,10000,261301,52.2602,84,0.3905457690556101,20,440,11,607,1.1235331756245437,random,0.15,0.15,0.15,ok,0.03346,39195,0.5780667282775639,1.435507741347124e-05,0.5780863585893272,0.9624389963566704,0.0014523663405333,0.9444004148622752,49.0,0.4859889471207628,1.0586618296001689,0.0032605319938738,0.4789496200003971,0.482210151994271,0.4858628050213601,0.0019464326881474,0.6561312624937703,0.0100347856403556,0.5890774068235486,-0.0008645757610746,-0.000227574866449,119.0,1.843517581598156,0.482210151994271,1,0.5780534203442513,0.963886596175076,0.9471494813214458,50,-0.0921906153228912,-0.0922235535679671,-0.0922039232562038,-0.3063077338629,-0.3077553336813057,-0.3553230080387265,2.1954366270014707,2.210382439805028,0.5769555262995131,0.998189998510694,0.9980252705517386,85,8.0
A,leiden,0.3,50,1,maxdeg_cap85_recal,10000,261301,52.2602,84,0.3905457690556101,20,440,11,607,1.1235331756245437,random,0.05,0.05,0.05,ok,0.03346,13065,0.5780667282775639,1.435507741347124e-05,0.5780863585893272,0.9624389963566704,0.0014523663405333,0.9444004148622752,49.0,0.4859889471207628,1.0586618296001689,0.002799653004331,0.3705627430002399,0.3733623960045709,0.207651746619667,0.0085414252055869,0.2941232742374234,0.0091860271320185,0.2452881627799824,-0.0008190543307736,-0.0001879027624116,1844.3333333333333,6.320277570689676,0.3733623960045709,1,0.5780534203442513,0.963886596175076,0.9471494813214458,50,-0.3704016737245843,-0.3704346119696602,-0.3704149816578969,-0.6683157221192468,-0.6697633219376526,-0.6991122520822927,2.8354805972136736,2.85690304704886,0.1024591231668756,0.4802222778589553,0.1131311564917821,1920,60.0
A,leiden,0.3,50,2,maxdeg_cap85_recal,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518065,lspar,0.5,0.50023,0.757812,ok,0.03384,131481,0.5755437449760135,0.0005734751268015,0.5759963907802879,0.9314894148884236,0.0052740631063766,0.8618931571673306,53.6,0.5269195253863619,1.13136922220001,0.7847309880016837,0.4833252253350413,1.268056213336725,0.5752990921482607,1.4417653065507945e-05,0.9655258701466396,0.001103459960393,0.9494662650761329,0.0003551578617136,-0.0002342918745502,78.0,0.7512817782668763,1.268056213336725,1,0.5759963907802879,0.9355880877218272,0.8850512560991998,54,-0.0006972986320271,-0.0006972986320271,-0.0002446528277527,0.0340364552582161,0.0299377824248125,0.0875731079088021,0.8922074670672202,2.3408031753686025,0.575617534990161,0.9763654300999766,0.9728785312751568,84,2.0
A,leiden,0.3,50,2,maxdeg_cap85_recal,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518065,lspar,0.2,0.20138,0.484375,ok,0.03384,52932,0.5755437449760135,0.0005734751268015,0.5759963907802879,0.9314894148884236,0.0052740631063766,0.8618931571673306,53.6,0.5269195253863619,1.13136922220001,0.5900088670023251,0.2723699226650448,0.86237878966737,0.57512753789325,3.1577132154240328e-06,0.9792313186761707,0.00063879984223,0.9742197829846244,-0.0004243975620764,0.0002346406792907,94.0,0.8924404000404755,0.86237878966737,1,0.5759963907802879,0.9355880877218272,0.8850512560991998,54,-0.0008688528870378,-0.0008688528870378,-0.0004162070827634,0.0477419037877473,0.0436432309543437,0.1123266258172939,1.3119168000831662,4.153796465960545,0.5753970388879095,0.9895854356023868,0.9907455083160234,102,3.0
A,leiden,0.3,50,2,maxdeg_cap85_recal,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518065,lspar,0.15,0.14956,0.390625,ok,0.03384,39310,0.5755437449760135,0.0005734751268015,0.5759963907802879,0.9314894148884236,0.0052740631063766,0.8618931571673306,53.6,0.5269195253863619,1.13136922220001,0.5876508040018962,0.2477432286662709,0.8353940326681671,0.5751193776345297,5.500740572025536e-06,0.98207206695894,0.0002778474553264,0.9815383615274168,0.0004415469908047,0.0001583104831203,98.33333333333331,0.9231170297904644,0.8353940326681671,1,0.5759963907802879,0.9355880877218272,0.8850512560991998,54,-0.0008770131457581,-0.0008770131457581,-0.0004243673414837,0.0505826520705166,0.046483979237113,0.1196452043600863,1.35429411506152,4.566700887409725,0.5753970388879095,0.9895854356023868,0.9907455083160234,102,3.0
A,leiden,0.3,50,2,maxdeg_cap85_recal,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518065,lspar,0.05,0.06548,0.0625,ok,0.03384,17210,0.5755437449760135,0.0005734751268015,0.5759963907802879,0.9314894148884236,0.0052740631063766,0.8618931571673306,53.6,0.5269195253863619,1.13136922220001,0.8640200119989458,0.2176635850022042,1.08168359700115,0.5749035994930599,1.1683478398779714e-06,0.9850634859106376,5.779725372945786e-05,0.9830225660920848,-0.0003745951057271,-8.616759859883607e-05,108.0,1.0133455012844046,1.08168359700115,1,0.5759963907802879,0.9355880877218272,0.8850512560991998,54,-0.0010927912872279,-0.0010927912872279,-0.0006401454829535,0.0535740710222142,0.0494753981888106,0.1211294089247543,1.0459336032612567,5.197788239077991,0.5752401218639336,0.9969017642613291,0.9981922941376822,112,5.0
A,leiden,0.3,50,2,maxdeg_cap85_recal,10000,262841,52.5682,116,0.3907381268523556,20,480,11,608,1.1302210885518065,dspar,0.5,0.49893,0.5,ok,0.03384,131140,0.5755437449760135,0.0005734751268015,0.5759963907802879,0.9314894148884236,0.0052740631063766,0.8618931571673306,53.6,0.5269195253863619,1.13136922220001,0.04503492799995,0.7914512193359163,0.8364861473358663,0.5755790650746352,3.174178597596494e-05,0.9459814757518324,0.0023252501186913,0.8996624412804982,0.0011228192778414,0.0001671693872738,62.333333333333336,0.6153272870693249,0.8364861473358663,1,0.5759963907802879,0.9355880877218272,0.8850512560991998,54,-0.0004173257056526,-0.0004173257056526,3.532009862172725e-05,0.0144920608634088,0.0103933880300052,0.0377692841131676,1.35252595133024,1.4294869911872887,0.5759963907802879,0.9355880877218272,0.8850512560991998,54,1.0
