mu,d_nom,lfr_seed,d_avg,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,dQ_over_pooled_sd,dAMI_over_pooled_sd,worstcase_dQ,worstcase_dAMI
0.5,50,1,48.016,240080,106,dspar,0.5,0.49945,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.17527165167772576,0.0010876784734143953,0.1730502118462456,0.1772979151449961,0.6245468186535864,0.010401362980905446,0.604011836403503,0.6391480581247706,-0.004105811146263766,0.023436212087807884,-2.687183826629574,1.8920539183312521,-0.009127176467182807,-0.015597763108520901
0.5,50,1,48.016,240080,106,dspar,0.2,0.20023,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.09574849888025355,0.0021924750043817117,0.09331248405230017,0.09904054359837405,0.2670159841711259,0.00710134332136969,0.2590696530900833,0.28120524861644636,-0.08362896394373598,-0.33409462239465265,-41.06916026751232,-29.936326319927918,-0.08886490426112825,-0.3605399464219406
0.5,50,1,48.016,240080,106,dspar,0.15,0.14987,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.06116889645130783,0.0018583251167671555,0.058891318141994956,0.0654598004118309,0.14321852969777982,0.006526286526106957,0.1358759342892131,0.15800968216760553,-0.1182085663726817,-0.4578920768679987,-63.460299335966674,-41.6901419016162,-0.12328607017143346,-0.4837336652228108
0.5,50,1,48.016,240080,106,random,0.5,0.5,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.16730012355528967,0.0028463862002512806,0.16274339148800615,0.17060649557618573,0.565240282514435,0.012201682448231383,0.5453152378295113,0.5854612184327627,-0.01207733926869986,-0.035870324051343494,-5.017444568919379,-2.721078370068526,-0.019433996825422267,-0.07429436168251258
0.5,50,1,48.016,240080,106,random,0.2,0.2,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.10564339167434027,0.002406443327195741,0.10178099643816663,0.1089047387593978,0.3271947900126912,0.005991130541562361,0.3183199465266004,0.3357421534753356,-0.07373407114964926,-0.27391581655308733,-34.235671154372945,-25.29308725264703,-0.08039639187526179,-0.3012896529854235
0.5,50,1,48.016,240080,106,random,0.15,0.15,ok,10,0.17937746282398953,0.0018670981743486653,0.17581657537811446,0.18217738831342842,0.6011106065657785,0.014095031321863927,0.5749031020713745,0.6196095995120239,0.07860416642521886,0.002966719089787098,0.07252436167284455,0.08270308424071908,0.2242899974702557,0.009354057259719889,0.20278275252533773,0.2354498703865264,-0.10077329639877067,-0.37682060909552284,-40.65641592134196,-31.502055110740706,-0.10965302664058386,-0.41682684698668615
0.5,50,2,49.012,245060,100,lspar,0.5,0.50274,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.18813268695503294,0.0014912456915346201,0.18616399075354395,0.19090266784366178,0.6521811817773552,0.011179483826644897,0.6306189791193392,0.6665110326536081,0.009839114687336697,0.07374703590144971,6.3361539776344165,6.718072411302828,0.005041754298597406,0.034841934222139326
0.5,50,2,49.012,245060,100,lspar,0.2,0.1958,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.19130054662968962,0.000529720799059438,0.19045045230455004,0.19209120866200718,0.7446175058303947,0.004530840551074892,0.7366278934112684,0.7520792028168906,0.013006974361993384,0.16618335995448918,10.840097076596527,20.111718039524057,0.0093282158496035,0.1408508485140686
0.5,50,2,49.012,245060,100,lspar,0.15,0.14717,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.18898417353777539,0.0007614962093744535,0.18800061921687292,0.1901230220276469,0.7552048551089582,0.0024737745692271964,0.7504206472060182,0.7602801551405846,0.010690601270079148,0.17677070923305271,8.479842900559234,22.619661016354733,0.0068783827619263715,0.15464360230881835
0.5,50,2,49.012,245060,100,dspar,0.5,0.4998,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.17614646842150966,0.0011858718882400555,0.1742544214026628,0.17830821317156495,0.6104565591814402,0.008285941045741424,0.600749320493118,0.6275574609956731,-0.0021471038461865766,0.03202241330553468,-1.5172491532353636,3.3323880354382696,-0.006867815052283732,0.004972275595918174
0.5,50,2,49.012,245060,100,dspar,0.2,0.19927,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.09513901486568088,0.004767019815075937,0.08301784858621089,0.09960259931712978,0.26226457864683445,0.0144160001121119,0.22406027712987892,0.2767203531758873,-0.08315455740201536,-0.316169567229071,-23.369010320365852,-24.84648426813808,-0.09810438786873565,-0.37171676776732093
0.5,50,2,49.012,245060,100,dspar,0.15,0.14935,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.06210280220649798,0.002157679947549386,0.059022286685401375,0.06575974138056379,0.1456557282138132,0.005497517654453552,0.13740035201197076,0.15525117685275877,-0.11619077006119827,-0.43277841766209224,-61.00756565798031,-50.609760111636774,-0.12209994976954516,-0.4583766928852291
0.5,50,2,49.012,245060,100,random,0.5,0.5,ok,10,0.17829357226769624,0.0016121073666440359,0.17626402497484794,0.18112223645494654,0.5784341458759055,0.010771546134264284,0.5634764367083788,0.5957770448971998,0.15860270896271125,0.03952175222221464,0.04019458332444418,0.17451999854678424,0.520698571829789,0.14865133566992633,0.07591662555646296,0.5861307829949455,-0.019690863304984985,-0.05773557404611651,-0.704016054089052,-0.5478384058021214,-0.14092765313050237,-0.5198604193407369
