network,arm,rewire_seed,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,term_sorting,term_scale,term_granularity,term_sum,log_ratio,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
ca-AstroPh,null,8,17903,196972,18,0.1683259325213234,0.34307414251771823,0.11519830832714242,0.09089109111954999,0.043711627063204486,0.11960638920999131,0.07589476214678682,0.1801370483878968,0.5833605863357569,0.41823825990399055,0.4190483204275828,-0.10855744904449521,-0.03538356619322763,0.27510730518985993,0.27510730518986354,1.3001524119955934,0.03550649047669019,0.6876924843663546,0.6278005633246034,1.0468342454991622,-0.00942748546544152,0.010440896981235293,0.010403706563389388,0.5946193914999408,0.7178429008624687,0.3181750917485498,0.3659695817490494,994.6111111111111,0.1896330223984807,0.6580430343766097,0.3
email-Enron,real,,33696,180811,192,0.612428927514086,0.7310727776518021,0.2496252425275687,0.18636034312071723,0.15007964500757942,0.2267208451836091,0.0766412001760297,0.2665820991623137,0.706740488095434,0.28476610674442265,0.0,0.0,0.0,0.0,0.0,2.9744190640227472,0.10518086185183417,0.3211653440591369,0.10061644795217858,1.1942463141321664,-0.11649898701370898,0.08512972961362864,0.5091899019721574,11.320873617478401,13.973717223650386,0.9145749171621805,0.9642982005141388,175.5,0.14239078822412155,0.90031612308088,0.3
email-Enron,null,7,33696,180811,147,0.24256668770534345,0.3298582497746265,0.2535290674853556,0.18636034312071723,0.23635437820509275,0.3447512798045079,0.10839690159941516,0.4383115404014676,0.7403425950864277,0.2689376565198499,0.49724767642977447,0.015517717791128503,-0.05859923280962763,0.4541661614112753,0.45416616141127014,4.646519031499228,0.028504664814188008,0.7266338079591091,0.46051637443659954,1.084298669221455,-0.08117072856773587,0.026927957256674157,0.0347693096017736,1.2956138291807786,5.0426346672828855,0.31424164179604974,0.6075811469930428,229.22448979591837,0.12179487179487179,0.8936739700628589,0.3
email-Enron,null,8,33696,180811,143,0.24151848037632356,0.3190900996067717,0.2537839539334942,0.18636034312071723,0.24354978393459487,0.35219580224041447,0.10864601830581959,0.4473269650994082,0.7466442570811006,0.2659320227585693,0.5176075322070726,0.01652256670619375,-0.04997484571170727,0.48415525320155905,0.48415525320156283,4.297311905357951,0.025811514329967422,0.7377264798559532,0.4718260644493335,1.0834421403329766,-0.07915528588441663,0.027509994933138437,0.03589598609949963,1.3328191351070284,5.086779947366711,0.3066123580899558,0.6065255531368791,235.63636363636363,0.129985754985755,0.8799517196953093,0.3
cit-HepTh,real,,27400,352021,26,0.6566588620689939,0.7344249348760443,0.10835149325316595,0.07783626545007258,0.026474311730763464,0.08486718251208199,0.05839287078131852,0.10790886693457151,0.6004985438212392,0.3826983192656441,0.0,0.0,0.0,0.0,0.0,2.1725629541584786,0.2315233463393761,0.3310956676031347,0.20502224700184754,1.246712177020827,-0.03045650494763551,0.11956678712037473,0.31391537950871445,13.917476685761585,8.963364282046893,0.9685881492884855,0.9233270580181414,1053.8461538461538,0.09956204379562043,0.43301796743402576,0.5
cit-HepTh,null,7,27400,352021,18,0.15842215416781227,0.32654870021958915,0.09373377458432612,0.07783626545007258,0.03227965135643594,0.09957503861252287,0.06729538725608693,0.16149526995079228,0.5823529291939922,0.4177060121199786,0.40318880777953897,-0.14492193087104097,-0.06000472837124762,0.1982621485372504,0.19826214853724813,1.9269886284222464,0.024651234563498048,0.7081577519424593,0.639822805908707,1.0515352070348147,-0.028124426929869866,0.010493137858177282,0.013819959410729945,0.7528011691836592,1.277155596050095,0.32412659196882176,0.3942944881026199,1522.2222222222222,0.20186131386861314,0.673073803730738,0.5
cit-HepTh,null,8,27400,352021,11,0.15808948159370684,0.31584763409001165,0.09378311250076216,0.07783626545007258,0.03210829984120704,0.09980323475178168,0.06769493491057464,0.1591504600824285,0.5762757035202526,0.4254735397150003,0.38856299837298863,-0.1443957071442982,-0.051227626682844106,0.19293966454584632,0.19293966454584163,1.628065906237815,0.0210635101391059,0.7144253006475486,0.6549108962867403,1.0442488197746627,-0.02831981370034226,0.010457074519310463,0.013716805891494705,0.8369294419211225,1.2245594512448306,0.33265278589737823,0.3887790861831288,2490.909090909091,0.19197080291970803,0.4033576642335768,0.5
cit-HepPh,real,,34401,420784,26,0.7314332495060649,0.8171033119130005,0.09504762034581354,0.0817545343929427,0.011016105351387237,0.0837693435773289,0.07275323822594167,0.04480518124870889,0.5369758315123986,0.4524583496352483,0.0,0.0,0.0,0.0,0.0,1.3581283608492805,0.05970888417321185,0.20809355553498804,0.16337771554614583,1.1377655752629208,-0.006435391439535044,0.14565588394974768,0.28559442591408435,10.022464982083857,4.997570166320166,0.9569808972032202,0.8684901247401248,1323.1153846153845,0.11996744280689514,0.5665275830532654,0.5
cit-HepPh,null,7,34401,420784,19,0.1671842312041236,0.3474395414274307,0.08743031155880812,0.0817545343929427,0.025737543927935314,0.09854983786108781,0.0728122939331525,0.14017000010911965,0.5656651734356444,0.43621175095081793,1.1405321868468192,-0.08353599609698369,-0.20840373649855204,0.8485924542512835,0.8485924542512797,1.2642111103560265,0.02228585616255363,0.6804061384994899,0.630658056188887,1.0426714177378003,-0.006404472665408824,0.004534653159644385,0.004456126772295062,0.2578233479483163,0.29703882558169176,0.17424434153915608,0.19402957896768602,1810.578947368421,0.20804627772448475,0.7097376300260549,0.5
cit-HepPh,null,8,34401,420784,23,0.167868458148225,0.34256293014943534,0.08739336843519313,0.0817545343929427,0.026983694954123852,0.09949461573732335,0.0725109207831995,0.14652786316098573,0.5736020693832321,0.4278966626405574,1.1848918169914042,-0.08395862905112529,-0.20505871980825083,0.895874468132028,0.8958744681320243,1.3361595203984098,0.021409997810909687,0.6904966192334051,0.6314195803304865,1.05028549635991,-0.0055428918258097065,0.004558380465370036,0.004400960966720728,0.2465087238544521,0.3048991646152567,0.16876062298380104,0.19651242232657,1495.695652173913,0.18714572250806663,0.7535802169552706,0.5
