network,arm,rewire_seed,n,m,n_comms,Q,p_intra,sd_s,mu_s,delta,mu_intra,mu_inter,r_pb,auc_s,auc_prod,term_sorting,term_scale,term_granularity,term_sum,log_ratio,hb,deg_R2,hub_inter_frac,nonhub_inter_frac,hub_inter_lift,assort_deg,transitivity,avg_local_cc,tri_intra,tri_inter,tri_frac_intra_ge1,tri_frac_inter_ge1,comm_size_mean,comm_size_max_frac,comm_size_gini,seconds
com-Youtube,null,7,1134890,2987624,31820,0.4023795123982135,0.43702152613581896,0.42610195882662194,0.3798637311790239,0.5522074013661895,0.6907446112566665,0.138537209890477,0.6428149993343201,0.8756815900599494,0.18318168437542565,1.061175619444033,0.03107171956127925,-0.28320211247093807,0.8090452265343742,0.8090452265343748,14.159949946973228,0.03495544203641976,0.6466685078888448,0.1897477412941142,1.1486558330556242,-0.0294261312531707,0.003716774378124893,0.0074982686374264924,0.20463429877394965,3.099426980774902,0.05899256772074727,0.37136259429430285,35.6659333752357,0.06494726361145133,0.9425083728629571,13.0
com-Youtube,null,8,1134890,2987624,31687,0.402366845908905,0.43691709532390954,0.425867773540362,0.3798637311790239,0.55172323851002,0.6905296548965454,0.13880641638652533,0.6425873763767972,0.8752062162390413,0.18390878704432576,1.0608214533646738,0.030521969298420805,-0.2831753579171981,0.8081680647458966,0.8081680647459001,13.971684723684866,0.034576803077189466,0.6465510672449096,0.19038315900385244,1.1482342331398494,-0.029439097245362086,0.0036875553143198925,0.007632561671679768,0.20743727323985095,3.071105285683715,0.05920355094136105,0.3697785148726728,35.81563417174235,0.06405378494832098,0.9427267242959294,13.1
wiki-Talk,real,,2388953,4656682,203,0.5994607566204193,0.6611943869046674,0.4141225389895084,0.5130161346641239,0.5134569796725614,0.6869782414601634,0.173521261787602,0.5868337340293939,0.8412955350743322,0.26231796718800815,0.0,0.0,0.0,0.0,0.0,10.477241814036514,0.014454517738762163,0.3394350158972249,0.025294748124330118,1.0018577106681972,-0.060433194620241895,0.002192440092038029,0.05266912913791363,3.143031505320607,11.366623777500301,0.2314467296227442,0.6139816569585032,11768.241379310344,0.09719948446034728,0.6889876911863313,124.0
wiki-Talk,null,7,2388953,4656682,148186,0.4877919631272215,0.4917164195450752,0.5249073528441645,0.5130161346641235,0.8313168890769068,0.9355608595367833,0.10424397045987645,0.791761432402628,0.9669955565888043,0.10290004711759433,0.2995185919867666,0.23705985831890292,-0.054733640737716686,0.48184480956795284,0.4818448095679581,105.69260236720544,0.03983894903391305,0.5490524661044549,0.004787638146295314,1.080208936934459,-0.054632059688544926,0.01421542261603606,0.04430462046461827,0.7049953117500601,74.95324462433167,0.09157219926743639,0.8342369709093905,16.121313754335766,0.027764464181589173,0.8741300192167345,112.2
wiki-Talk,null,8,2388953,4656682,148309,0.4878183620347952,0.49179265408288564,0.5249753901282435,0.5130161346641237,0.8312596362286738,0.9354683881599238,0.10420875193125005,0.7916062887316503,0.9669332657924176,0.10329339774911216,0.29932262528945003,0.23718946761980744,-0.054736155777998195,0.4817759371312593,0.4817759371312501,105.56807511732195,0.03952159709899283,0.5489615035444464,0.004674840467484047,1.0801919884762523,-0.05463180293122999,0.014213491861441028,0.044270588112564284,0.7019700260510139,74.95703552836184,0.09167109874495769,0.834337181394091,16.107943550290273,0.027668187695613935,0.8740559369415721,113.1
cit-Patents,real,,3764117,16511740,65,0.8268148384917874,0.8585731122219705,0.22482202983642172,0.22796610169491519,0.03777313262183041,0.2333082382832471,0.19553510566141669,0.05854620821291157,0.49943009403683936,0.5029630051867284,0.0,0.0,0.0,0.0,0.0,0.7228255041251593,0.05034107968058432,0.13151449274081184,0.14742046595006114,0.9299115239474461,0.1675193971508378,0.06714270729710764,0.07583658571886821,1.5135903439316911,0.4656115696958381,0.505611102740472,0.26800699210861234,57909.49230769231,0.06669293223350921,0.5124553289349443,27.1
cit-Patents,null,7,3764117,16511740,6829,0.2962161335251311,0.3649053945859128,0.22125269097885178,0.22796610169491485,0.16592456903600508,0.33334390039533934,0.16741933135933426,0.3610201901424483,0.6871850432273414,0.3147859646927125,1.8191175587163508,-0.016003664280720427,-0.3231786854525884,1.479935208983042,1.4799352089830593,1.9402382640355045,0.013056768983682798,0.72314847566583,0.5724002663014509,1.1386468559189398,-0.0001537566184976992,1.2892605755552264e-05,1.2639216726050982e-05,0.00026621421315028504,0.00025985749129095963,0.0002658822752286513,0.00025966677019643417,551.1959291257871,0.07580901443818032,0.9943055032720143,32.4
cit-Patents,null,8,3764117,16511740,6937,0.2971996048031519,0.3691019844062467,0.2212636940917669,0.22796610169491577,0.1644370440641022,0.33170910648505963,0.16727206242095743,0.35862641363394737,0.6854965330477792,0.316403872443167,1.8124648896852442,-0.015953934538326154,-0.3255812417539348,1.4709297133929833,1.4709297133930004,1.9247949652411007,0.01384170021164055,0.7186206978902759,0.5684375669417018,1.1390441563110079,0.0004126703896659672,1.2749652399981344e-05,1.156822041208693e-05,0.0002700788709062377,0.0002529464663522643,0.00026975070702907333,0.00025227450230502866,542.614530776993,0.07848241699182039,0.9943279584038895,31.7
wiki-topcats,real,,1791489,25444207,29,0.6452102104337216,0.7344312204345768,0.07326517944478658,0.07040852167253626,0.02292302181395417,0.0764961605996197,0.053573138785665525,0.13817781600351434,0.6084335994778489,0.35292829348745397,0.0,0.0,0.0,0.0,0.0,5.076474747838267,0.07985097987757395,0.2980834694876927,0.15344011827280582,1.1224341580191637,-0.025802323412966593,0.0020944651826936,0.274576282537496,6.644743677697139,4.757929742065744,0.8952512492628574,0.7964061080446642,61775.48275862069,0.14712789193793543,0.5854593196131723,619.6
wiki-topcats,null,7,1791489,25444207,71,0.1411925073360886,0.29210307084830744,0.07700865228569734,0.07040852167253621,0.028657755897107624,0.09069525906847764,0.062037503171370016,0.16922157454080322,0.6050798646626985,0.38769744563689446,0.20266757065987992,0.049832328544051764,-0.029217505689840367,0.22328239351409132,0.22328239351408183,6.919963224569779,0.04094250082862361,0.7387830630025813,0.6266696853713656,1.043630834629981,-0.02366271764172241,0.002096034296348809,0.026148358845184634,2.40264702957928,7.693841663133813,0.35861965781663924,0.5020161142570602,25232.23943661972,0.1708841081357463,0.8752496772316685,590.4
