network,algo,arm,seed,k,giant_share,top3_share,Q_orig
com-DBLP,labelprop,dspar_0.5,100,37237,0.000457,0.001145,0.5219326933652199
com-DBLP,labelprop,dspar_0.5,101,37162,0.00077,0.001656,0.5258160190356195
com-DBLP,labelprop,dspar_0.5,102,37237,0.000615,0.001255,0.5220109482377934
com-Amazon,infomap,baseline,100,15383,0.00126,0.003342,0.83259535472681
com-Amazon,infomap,baseline,101,15388,0.001147,0.003288,0.8328196134602386
com-Amazon,infomap,baseline,102,15354,0.001141,0.003225,0.8325392315024517
com-Amazon,infomap,dspar_0.5,100,31304,0.000785,0.002117,0.6663741043410646
com-Amazon,infomap,dspar_0.5,101,31303,0.000756,0.002096,0.6668339677376416
com-Amazon,infomap,dspar_0.5,102,31256,0.000785,0.002061,0.6670129936237625
com-Amazon,louvain,baseline,100,231,0.037338,0.106533,0.9259752003127877
com-Amazon,louvain,baseline,101,244,0.033957,0.099139,0.9259056134528141
com-Amazon,louvain,baseline,102,252,0.039335,0.112553,0.9258687111945618
com-Amazon,louvain,dspar_0.5,100,12032,0.029549,0.074708,0.8306620360355496
com-Amazon,louvain,dspar_0.5,101,12044,0.027647,0.079197,0.8318114253465044
com-Amazon,louvain,dspar_0.5,102,12044,0.030371,0.079483,0.8309350731930009
com-Amazon,labelprop,baseline,100,22482,0.003243,0.006188,0.7845622029379078
com-Amazon,labelprop,baseline,101,22561,0.001738,0.004757,0.7830345742252282
com-Amazon,labelprop,baseline,102,22396,0.004205,0.009099,0.7842501134787626
com-Amazon,labelprop,dspar_0.5,100,41906,0.001209,0.002279,0.5754948143172056
com-Amazon,labelprop,dspar_0.5,101,41777,0.001087,0.001998,0.5760228823663844
com-Amazon,labelprop,dspar_0.5,102,41787,0.001192,0.002237,0.576491814646155
