network,n,m,algo,sparsifier,target_ret,realized_ret,m_sparse,e_used,n_spar_seeds,n_algo_seeds,Q_base_mean,Q_base_std,Q_base_best,k_base,T_algo_orig,Q_sparse_native,Q_orig_mean,Q_orig_std,Q_orig_best,k_sparse,T_algo_sparse,T_sparsify,dQ_naive,dQ_honest_vs_mean,dQ_honest_vs_best,dQ_bestbest,dQ_vs_matched,Q_matched_best,budget,n_restarts,pooled_sd,T_pipeline,speedup_vs_single,speedup_algo_only
ca-HepTh,8638,24806,labelprop,dspar,0.8,0.8004918164960091,19857.0,,2,3,0.6508772182973247,0.018049071240165488,0.6741572833032402,568.0,0.09539688599761575,0.6865557442556942,0.611475006679635,0.0051536959836834435,0.6174208146436181,806.8333333333334,0.043350461821925514,0.006089888483984396,0.03567852595836951,-0.03940221161768975,-0.06268227662360526,-0.05673646865962212,-0.027798364533430542,0.6392733712130655,0.04944035030590991,1,0.013272707992809978,0.04944035030590991,1.9295349933273507,2.2005967638703803
ca-HepTh,8638,24806,labelprop,dspar,0.5,0.4992138998629364,12383.5,,2,3,0.6508772182973247,0.018049071240165488,0.6741572833032402,568.0,0.09539688599761575,0.778590166121126,0.4915909772717592,0.008052346726403073,0.5056569138572821,1169.0,0.0327788659875902,0.004259531997377053,0.12771294782380127,-0.1592862410255655,-0.182566306031481,-0.16850036944595814,-0.14768239394130628,0.6392733712130655,0.037038397984967254,1,0.013975143298635317,0.037038397984967254,2.5756212792015036,2.910316849696149
ca-HepTh,8638,24806,labelprop,lspar,0.5,0.5006046924131259,12418.0,0.265625,1,3,0.6508772182973247,0.018049071240165488,0.6741572833032402,568.0,0.09539688599761575,0.8516283829491075,0.5245753037822132,0.0046176385371536136,0.5311054905147957,1165.0,0.021655568018710863,0.019489765050821006,0.20075116465178278,-0.12630191451511152,-0.14958197952102703,-0.1430517927884445,-0.11469806743085231,0.6392733712130655,0.04114533306953187,1,0.013173677510330498,0.04114533306953187,2.318534785862681,4.405189737585773
ca-CondMat,21363,91286,infomap,dspar,0.8,0.800166509650987,73044.0,,2,3,0.6437189633158426,0.0016852449831069067,0.6459860399798139,1118.6666666666667,0.9864787893602625,0.6951100802250263,0.6118622923044201,0.001577479875102376,0.6140828192937837,1215.5,0.976450535497861,0.022164717025589198,0.05139111690918374,-0.03185667101142242,-0.03412374767539372,-0.03190322068603013,-0.032452871647136616,0.6443151639515567,0.9986152525234502,2,0.00163225203468092,0.9986152525234502,0.9878467075958238,1.010270109440094
ca-CondMat,21363,91286,infomap,dspar,0.5,0.5003231601779023,45672.5,,2,3,0.6437189633158426,0.0016852449831069067,0.6459860399798139,1118.6666666666667,0.9864787893602625,0.7582174002567933,0.5315344974271433,0.0024178608270789864,0.5353904927869467,1603.1666666666667,0.8285240119924614,0.015101813012734056,0.11449843694095074,-0.11218446588869924,-0.11445154255267054,-0.11059554719286713,-0.11177900680019137,0.6433135042273347,0.8436258250051955,1,0.002083998756262834,0.8436258250051955,1.1693321376857888,1.1906459862134187
ca-CondMat,21363,91286,infomap,lspar,0.5,0.49717371776614155,45385.0,0.5,1,3,0.6437189633158426,0.0016852449831069067,0.6459860399798139,1118.6666666666667,0.9864787893602625,0.8703655856874071,0.5525929176500625,0.0008599567728312287,0.5534148870516927,1965.0,0.5796373160167908,0.09601449297042564,0.22664662237156452,-0.09112604566578009,-0.09339312232975139,-0.09257115292812113,-0.09072058657727222,0.6433135042273347,0.6756518089872164,1,0.0013378296424106657,0.6756518089872164,1.460040180812906,1.7018897198324725
ca-CondMat,21363,91286,louvain,dspar,0.8,0.800166509650987,73044.0,,2,3,0.7241485128395827,0.001513486090546014,0.7262320988899674,54.666666666666664,0.15528015934008485,0.7701077464229941,0.7058858107286774,0.00146933808400944,0.7078791724586877,65.5,0.11963798065941471,0.022164717025589198,0.04595923358341136,-0.018262702110905304,-0.020346288161290027,-0.018352926431279726,-0.018373803331165783,0.7242596140598432,0.14180269768500392,2,0.001491575434129429,0.14180269768500392,1.0950437606273142,1.2979169197291642
ca-CondMat,21363,91286,louvain,dspar,0.5,0.5003231601779023,45672.5,,2,3,0.7241485128395827,0.001513486090546014,0.7262320988899674,54.666666666666664,0.15528015934008485,0.8312801115347046,0.6468955146967136,0.003591196727128569,0.6532470321204955,126.33333333333333,0.08216746231967893,0.015101813012734056,0.1071315986951219,-0.07725299814286912,-0.07933658419325385,-0.07298506676947192,-0.07535447532372719,0.7222499900204408,0.09726927533241299,1,0.0027556609079506865,0.09726927533241299,1.5963947383119952,1.8898010837423123
ca-CondMat,21363,91286,louvain,lspar,0.5,0.49717371776614155,45385.0,0.5,1,3,0.7241485128395827,0.001513486090546014,0.7262320988899674,54.666666666666664,0.15528015934008485,0.9283684791504325,0.6613483854631871,0.00047183824827928806,0.6619362752399023,506.3333333333333,0.055308712006080896,0.09601449297042564,0.20421996631084982,-0.06280012737639562,-0.06488371342678034,-0.06429582365006514,-0.0629112285966561,0.7242596140598432,0.15132320497650653,2,0.0011209976536138522,0.15132320497650653,1.026149025618329,2.8075171832425356
ca-CondMat,21363,91286,labelprop,dspar,0.8,0.800166509650987,73044.0,,2,3,0.6251559377338439,0.0032247420068935713,0.6274508251637304,1543.0,0.17706741899019107,0.6567393527864608,0.5785314506247464,0.0037063592504513786,0.5846306572970794,1754.0,0.1833094831672497,0.022164717025589198,0.03158341505261686,-0.0466244871090975,-0.048919374538983984,-0.04282016786665099,0.15933651117990383,0.4191949394448426,0.2054742001928389,1,0.0034739070154820267,0.2054742001928389,0.861750131276881,0.9659479473227065
