network,algo,arm,target_ret,spar_seed,algo_seed,realized_ret,m_sparse,Q_native,Q_orig,k,t_detect
email-Eu-core,louvain,dspar,0.5,200,301,0.499938,8031,0.5162507734279139,0.40325099510139234,10,0.0045695959706790745
email-Eu-core,louvain,dspar,0.5,200,302,0.499938,8031,0.5157800148134112,0.4033217153175149,11,0.005670173035468906
email-Eu-core,louvain,dspar,0.5,201,300,0.502677,8075,0.5198249767562232,0.40391133269462,9,0.008410665031988174
email-Eu-core,louvain,dspar,0.5,201,301,0.502677,8075,0.5215677788534347,0.40718633806407833,9,0.007120713009499013
email-Eu-core,louvain,dspar,0.5,201,302,0.502677,8075,0.52209455089189,0.40480832792770655,10,0.005548715009354055
email-Eu-core,louvain,lspar,0.5,,300,0.502054,8065,0.673937863046258,0.3871432708688403,11,0.0038049329887144268
email-Eu-core,louvain,lspar,0.5,,301,0.502054,8065,0.6750589003097509,0.3883955742021952,12,0.00368156295735389
email-Eu-core,louvain,lspar,0.5,,302,0.502054,8065,0.6718316960498798,0.37678507947480505,13,0.004502575029619038
email-Eu-core,labelprop,baseline,1.0,,100,1.0,16064,0.0,0.0,1,0.003359975991770625
email-Eu-core,labelprop,baseline,1.0,,101,1.0,16064,0.0,0.0,1,0.002015987003687769
email-Eu-core,labelprop,baseline,1.0,,102,1.0,16064,0.0,0.0,1,0.0018617440364323556
email-Eu-core,labelprop,dspar,0.8,200,300,0.801295,12872,0.11895117221977383,0.10068786846823363,2,0.0037073870189487934
email-Eu-core,labelprop,dspar,0.8,200,301,0.801295,12872,0.11431304683374788,0.09668401027054623,2,0.006505977013148367
email-Eu-core,labelprop,dspar,0.8,200,302,0.801295,12872,0.11431304683374788,0.09668401027054623,2,0.00273725000442937
email-Eu-core,labelprop,dspar,0.8,201,300,0.802104,12885,0.1155962817852743,0.09625851479230003,2,0.00871730997459963
email-Eu-core,labelprop,dspar,0.8,201,301,0.802104,12885,0.11624287806721015,0.09679034538824285,2,0.0018578649614937603
email-Eu-core,labelprop,dspar,0.8,201,302,0.802104,12885,0.11611360699685255,0.09668401027054623,2,0.005206094007007778
email-Eu-core,labelprop,dspar,0.5,200,300,0.499938,8031,0.15746338808118407,0.11145935237821121,3,0.0054150299984030426
email-Eu-core,labelprop,dspar,0.5,200,301,0.499938,8031,0.1334616990713716,0.09715160771257597,2,0.003851545974612236
email-Eu-core,labelprop,dspar,0.5,200,302,0.499938,8031,0.13447849116487812,0.09768246951189255,2,0.0035554690402932465
email-Eu-core,labelprop,dspar,0.5,201,300,0.502677,8075,0.19670587468489092,0.1369226913777906,4,0.002938446996267885
email-Eu-core,labelprop,dspar,0.5,201,301,0.502677,8075,0.2758578343509476,0.20083789980144162,5,0.0026285109925083816
email-Eu-core,labelprop,dspar,0.5,201,302,0.502677,8075,0.3859446788524763,0.2962154548824126,7,0.0038305939524434507
email-Eu-core,labelprop,lspar,0.5,,300,0.502054,8065,0.5766729790384926,0.32431911539288577,14,0.0017242840258404613
email-Eu-core,labelprop,lspar,0.5,,301,0.502054,8065,0.45956340474500235,0.2630575068066877,11,0.002495783963240683
email-Eu-core,labelprop,lspar,0.5,,302,0.502054,8065,0.5733679815540889,0.3339872523259799,11,0.00209060194902122
wiki-Vote,infomap,baseline,1.0,,100,1.0,100736,0.27053621901729596,0.27053621901729596,99,0.3004039680236019
wiki-Vote,infomap,baseline,1.0,,101,1.0,100736,0.3906262143095848,0.3906262143095848,84,0.2612496090005152
wiki-Vote,infomap,baseline,1.0,,102,1.0,100736,0.3992045561326046,0.3992045561326046,58,0.24868326797150075
wiki-Vote,infomap,dspar,0.8,200,300,0.800171,80606,0.44020481255009436,0.4061360417879525,77,0.21419376402627677
wiki-Vote,infomap,dspar,0.8,200,301,0.800171,80606,0.4393681470563388,0.40951081516373705,68,0.22942285600584
wiki-Vote,infomap,dspar,0.8,200,302,0.800171,80606,0.45000747350383286,0.4176056719270285,64,0.2244950360036455
wiki-Vote,infomap,dspar,0.8,201,300,0.798017,80389,0.42596640411649245,0.3942442968445855,67,0.21460565098095685
wiki-Vote,infomap,dspar,0.8,201,301,0.798017,80389,0.4338096518373932,0.40240917514777114,84,0.22973530396120623
wiki-Vote,infomap,dspar,0.8,201,302,0.798017,80389,0.45331718004763033,0.4179043373927836,80,0.2235132220084779
wiki-Vote,infomap,dspar,0.5,200,300,0.498829,50250,0.47343478428751756,0.38454750085313977,93,0.3602026649750769
wiki-Vote,infomap,dspar,0.5,200,301,0.498829,50250,0.47707817687680976,0.3959269060409478,88,0.3011147979996167
wiki-Vote,infomap,dspar,0.5,200,302,0.498829,50250,0.476706049850251,0.392368886672537,100,0.26765706902369857
wiki-Vote,infomap,dspar,0.5,201,300,0.499772,50345,0.47964646363372115,0.395470137910771,87,0.23351626499788836
wiki-Vote,infomap,dspar,0.5,201,301,0.499772,50345,0.4762782278492525,0.38728876618421965,96,0.24739684601081535
wiki-Vote,infomap,dspar,0.5,201,302,0.499772,50345,0.47533946388649084,0.3930446018420217,93,0.2610315920319408
wiki-Vote,infomap,lspar,0.5,,300,0.501767,50546,0.5515325118741444,0.38445168194789686,116,0.1615303049911745
wiki-Vote,infomap,lspar,0.5,,301,0.501767,50546,0.5518708801615474,0.3816339358072682,119,0.16432389098918065
wiki-Vote,infomap,lspar,0.5,,302,0.501767,50546,0.548905013361401,0.37878106362473984,127,0.1991849630139768
wiki-Vote,louvain,baseline,1.0,,100,1.0,100736,0.42749861722534727,0.42749861722534727,6,0.0710943040321581
wiki-Vote,louvain,baseline,1.0,,101,1.0,100736,0.4176793788189069,0.4176793788189069,15,0.09187456400832161
wiki-Vote,louvain,baseline,1.0,,102,1.0,100736,0.4261974678765021,0.4261974678765021,7,0.046705805987585336
wiki-Vote,louvain,dspar,0.8,200,300,0.800171,80606,0.4606521872434747,0.4264673202813064,6,0.04428775899577886
wiki-Vote,louvain,dspar,0.8,200,301,0.800171,80606,0.45877291949898646,0.4233818964561867,7,0.05420703801792115
wiki-Vote,louvain,dspar,0.8,200,302,0.800171,80606,0.4538931665100453,0.41961946485871604,8,0.09697863698238507
wiki-Vote,louvain,dspar,0.8,201,300,0.798017,80389,0.4604912271142856,0.4241296230664324,7,0.04294553102226928
wiki-Vote,louvain,dspar,0.8,201,301,0.798017,80389,0.4552853382522669,0.4198074981233736,6,0.05069762404309586
wiki-Vote,louvain,dspar,0.8,201,302,0.798017,80389,0.4561379737901514,0.4194578039149174,7,0.06669243500800803
wiki-Vote,louvain,dspar,0.5,200,300,0.498829,50250,0.4717195722878145,0.41051225137530356,17,0.03718412294983864
wiki-Vote,louvain,dspar,0.5,200,301,0.498829,50250,0.4827668693349173,0.40423664972837714,9,0.04465189098846167
wiki-Vote,louvain,dspar,0.5,200,302,0.498829,50250,0.4974032710081434,0.41507025742094733,8,0.041995990031864494
wiki-Vote,louvain,dspar,0.5,201,300,0.499772,50345,0.4829988832345327,0.4100927838102513,12,0.04061606404138729
wiki-Vote,louvain,dspar,0.5,201,301,0.499772,50345,0.4798926763756934,0.4102405351075267,18,0.042697225988376886
wiki-Vote,louvain,dspar,0.5,201,302,0.499772,50345,0.48365281089926326,0.41039229246853715,8,0.061398890044074506
wiki-Vote,louvain,lspar,0.5,,300,0.501767,50546,0.5815653656382437,0.4149616825248763,9,0.028170039993710816
wiki-Vote,louvain,lspar,0.5,,301,0.501767,50546,0.5728013627373938,0.41103854595985173,8,0.027500861033331603
wiki-Vote,louvain,lspar,0.5,,302,0.501767,50546,0.5728791153486451,0.40301838842745413,7,0.026809883944224566
wiki-Vote,labelprop,baseline,1.0,,100,1.0,100736,7.941151087019036e-05,7.941151087019036e-05,2,0.017232779995538294
wiki-Vote,labelprop,baseline,1.0,,101,1.0,100736,7.941151087019036e-05,7.941151087019036e-05,2,0.05283830198459327
wiki-Vote,labelprop,baseline,1.0,,102,1.0,100736,7.941151087019036e-05,7.941151087019036e-05,2,0.01709880103589967
wiki-Vote,labelprop,dspar,0.8,200,300,0.800171,80606,0.00014885982572058118,0.0001191152707874039,4,0.010903232963755727
wiki-Vote,labelprop,dspar,0.8,200,301,0.800171,80606,0.00014885982572058118,0.0001191152707874039,4,0.01326454698573798
wiki-Vote,labelprop,dspar,0.8,200,302,0.800171,80606,0.3572738839654158,0.3390995705336487,5,0.02906542900018394
wiki-Vote,labelprop,dspar,0.8,201,300,0.798017,80389,0.00012438607631012254,9.926361255282516e-05,3,0.014373262994922698
wiki-Vote,labelprop,dspar,0.8,201,301,0.798017,80389,9.950983591935611e-05,7.941151087019036e-05,2,0.06367259402759373
wiki-Vote,labelprop,dspar,0.8,201,302,0.798017,80389,9.950983591935611e-05,7.941151087019036e-05,2,0.019323389045894146
wiki-Vote,labelprop,dspar,0.5,200,300,0.498829,50250,0.37923651770995775,0.3384320124007224,3,0.059089095040690154
