network,arm,n,m,n_comms,Q_fixed_base,Q_fixed_base_std,delta,delta_std,hb,hb_std,dQ_fixed,dQ_fixed_std,actual_retention,actual_retention_std,n_reps,seconds
email-Enron,real,33696,180811,192,0.612428927514086,0.0,0.15007964500757942,0.0,2.9744190640227472,0.0,0.14224651905118135,0.00039510296864582234,0.3889291396356785,0.0002999602310299931,3,1.4
email-Enron,null,33696,180811,145,0.2420425840408335,0.0005241036645099451,0.2399520810698438,0.0035977028647510567,4.471915468428589,0.1746035630706384,0.1562139125915573,0.0012921276635592973,0.3936790350144626,0.0004740001103784665,4,7.7
cit-HepTh,real,27400,352021,26,0.6566588620689939,0.0,0.026474311730763464,0.0,2.1725629541584786,0.0,0.04612286268534956,0.0001855804743953418,0.43392771075210473,0.0003812686962288629,3,2.6
cit-HepTh,null,27400,352021,14,0.15825581788075954,0.00016633628705271797,0.03219397559882149,8.567575761445068e-05,1.7775272673300306,0.14946136109221564,0.03759029794821377,0.0006025240074462013,0.45250425400757344,0.00013056590594631574,4,11.0
cit-HepPh,real,34401,420784,26,0.7314332495060649,0.0,0.011016105351387237,0.0,1.3581283608492805,0.0,0.012617045259450288,0.0003190945094942415,0.45938850653383523,0.000485004723175722,3,3.2
cit-HepPh,null,34401,420784,21,0.1675263446761743,0.0003421134720507091,0.026360619441029583,0.0006230755130942692,1.300185315377218,0.03597420502119164,0.03193337821584329,0.00036183861816265227,0.4675932307312065,0.0002561757441351082,4,14.2
com-Amazon,real,334863,925872,326,0.9295759329493654,0.0,0.00961229304191441,0.0,1.0418094342918638,0.0,1.5338336055788677e-05,0.00010565585769693893,0.5153563343529126,0.0002750253875007385,3,14.8
com-Amazon,null,334863,925872,238,0.4234549082730643,0.00024726592093385347,0.1389081194808064,0.001376704384020433,2.13852790033223,0.02381763061562303,0.05857984528495992,0.0005404582527720938,0.512059442341922,0.0001474602330391881,4,93.0
com-DBLP,real,317080,1049866,239,0.8270797363743959,0.0,0.1468700896069604,0.0,1.5830536132375563,0.0,0.043728930009804934,0.00018741569379145657,0.4687664901997017,0.00033886160892170194,3,17.6
com-DBLP,null,317080,1049866,523,0.3646711372387552,0.0005299082225932172,0.1965262305497596,0.002167011177232711,2.308001049917374,0.0783830195023194,0.09796720175716213,0.0005124900536558543,0.4750110966542397,0.00031087426066063575,4,102.1
com-Youtube,real,1134890,2987624,5921,0.7188132473549275,0.0,0.2458885725709366,0.0,3.9964982827449793,0.0,0.09585589701143067,0.00022940737534364773,0.40987096546731894,7.529224947069674e-05,3,71.9
com-Youtube,null,1134890,2987624,31753,0.40237317915355925,6.3332446542663234e-06,0.5519653199381047,0.00024208142808473943,14.065817335329047,0.09413261164418074,0.2633138023944851,0.00021805117886985445,0.4084180271680774,0.00010830588806501276,4,315.1
wiki-Talk,real,2388953,4656682,203,0.5994607566204193,0.0,0.5134569796725614,0.0,10.477241814036514,0.0,0.2020161192119991,0.00015911208430064927,0.45543278812396176,4.8571141571634833e-05,3,137.7
wiki-Talk,null,2388953,4656682,148247,0.48780516258100837,1.3199453786860715e-05,0.8312882626527902,2.862642411638472e-05,105.63033874226369,0.062263624941742535,0.3528957937067474,8.387734271382245e-05,0.4148856954372233,0.00013118842221946682,4,529.1
cit-Patents,real,3764117,16511740,65,0.8268148384917874,0.0,0.037773132621830824,0.0,0.7228255041251593,0.0,0.004713480554985994,8.804706206294039e-05,0.4610214913752275,3.428227839611238e-05,3,377.9
wiki-topcats,real,1791489,25444207,29,0.6452102104337216,0.0,0.022923021813954197,0.0,5.076474747838267,0.0,0.04835757675628268,5.152642521098786e-05,0.4474601232414121,4.7842147109851265e-05,3,281.4
cit-Patents,null,3764117,16511740,6829,0.2962161335251311,0.0,0.1659245690360051,0.0,1.9402382640355045,0.0,0.07676673145010096,2.385411701702478e-05,0.4665762966228877,0.00013678146579340633,2,1119.9
wiki-topcats,null,1791489,25444207,71,0.1411925073360886,0.0,0.028657755897107617,0.0,6.919963224569779,0.0,0.05377175665704782,2.4197956952951016e-05,0.4347645418857031,6.201804599373362e-05,2,989.0
