network,n,m,sampler,alpha,rep,sparsify_seed,leiden_seed,m_sparse,retention,weight_sum_ratio,Q_P0_orig,Q_P0_sparse_w,dQ_fixed_w,Q_sparse_leiden_w,Q_orig_of_Pw,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_Pw,nc_base_mean,t_sparsify,t_leiden_sparse,t_leiden_orig_mean,ami_Pw,ari_Pw,ami_base_mean,ari_base_mean,ami_base_std,ari_base_std,nc_Pw_orig_labels
email-Eu-core,986,16064,paper,0.8,3,203,303,7134,0.44409860557768926,0.9968182474608163,0.41585277609990806,0.42281140147601265,0.006958625376104588,0.49520046152435065,0.39077253997580397,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.02527589545329645,-0.02565783654785747,8,7,8.0,0.0027143829502165318,0.04495091596618295,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,0.8,4,204,304,7136,0.4442231075697211,0.9992641939191035,0.41585277609990806,0.4144928213055133,-0.0013599547943947687,0.48355278971400006,0.37031180130387314,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.04573663412522727,-0.046118575219788294,8,9,8.0,0.002711452078074217,0.045440244022756815,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,1.0,0,200,300,8214,0.5113296812749004,1.0143202905376203,0.41585277609990806,0.4104503845561277,-0.0054023915437803605,0.4788269850408322,0.3895342648175972,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.02651417061150324,-0.026896111706064263,8,8,8.0,0.003042890108190477,0.04637674102559686,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,1.0,1,201,301,8148,0.5072211155378487,0.9997769265642551,0.41585277609990806,0.40689381433008465,-0.008958961769823415,0.4789722319827425,0.38778202948601515,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.02826640594308527,-0.028648347037646293,8,8,8.0,0.00314553698990494,0.04929411504417658,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,1.0,2,202,302,8165,0.5082793824701195,1.0014737128765614,0.41585277609990806,0.42147956863031966,0.005626792530411595,0.49006767568321624,0.3940616103346821,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.021986825094418294,-0.022368766188979317,8,9,8.0,0.003071505925618112,0.04941906302701682,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,1.0,3,203,303,8183,0.5093999003984063,1.0009684635316511,0.41585277609990806,0.4218340061924312,0.00598123009252316,0.4960073767176832,0.4063952013007482,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.009653234128352228,-0.01003517522291325,8,7,8.0,0.0031593500170856714,0.04728986497502774,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,1.0,4,204,304,8171,0.5086528884462151,1.0021186537817952,0.41585277609990806,0.41727557545437083,0.001422799354462767,0.4881178965563832,0.39276869698434846,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.023279738444751952,-0.023661679539312974,8,8,8.0,0.0031232129549607635,0.04785913205705583,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,calibrated,0.9,0,200,300,14446,0.8992778884462151,0.9991711562799843,0.41585277609990806,0.4154552857587153,-0.00039749034119274107,0.4481913782270853,0.4151937986971438,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.0008546367319566262,-0.0012365778265176486,8,6,8.0,0.0028920950135216117,0.05460394802503288,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,calibrated,0.9,1,201,301,14505,0.9029506972111554,1.0048822346055992,0.41585277609990806,0.4136954704107196,-0.0021573056891884823,0.44738864428947417,0.412608975669781,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.0034394597593194187,-0.003821400853880441,8,8,8.0,0.0029730619862675667,0.060760327032767236,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,calibrated,0.9,2,202,302,14415,0.8973481075697212,0.9971757054498542,0.41585277609990806,0.41898825846387727,0.003135482363969211,0.4521260384020625,0.41535841080709535,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.0006900246220050699,-0.0010719657165660923,8,6,8.0,0.0028609789442270994,0.05125390400644392,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,calibrated,0.9,3,203,303,14474,0.9010209163346613,1.0014648169272806,0.41585277609990806,0.4131355230608433,-0.002717253039064782,0.44758150005205805,0.4135052055535329,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.002543229875567543,-0.0029251709701285655,8,8,8.0,0.002871593926101923,0.0545539929298684,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,calibrated,0.9,4,204,304,14465,0.900460657370518,0.9998560931093305,0.41585277609990806,0.4172270813071155,0.001374305207207438,0.4466933247338027,0.4118275539990187,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.004220881430081702,-0.004602822524642725,8,8,8.0,0.002834534039720893,0.05680236394982785,0.05763329260516912,,,,,,,
email-Eu-core-labeled,986,16064,paper,0.8,0,200,300,7180,0.4469621513944223,1.0163653759882179,0.41585277609990806,0.4093760131031348,-0.006476762996773244,0.4754311147492648,0.3748746822812089,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.04117375314789151,-0.041555694242452534,8,7,8.0,0.0026370759587734938,0.04639948601834476,0.058127809409052135,0.4596326305545657,0.2701509818333931,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,7
email-Eu-core-labeled,986,16064,paper,0.8,1,201,301,7138,0.444347609561753,0.9977042620646055,0.41585277609990806,0.4098036159400005,-0.006049160159907585,0.4789311186636333,0.37416299071641723,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.041885444712683184,-0.04226738580724421,8,9,8.0,0.002570317010395229,0.04501673404593021,0.058127809409052135,0.5049102645522924,0.28541428024668336,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,9
email-Eu-core-labeled,986,16064,paper,0.8,2,202,302,7143,0.4446588645418327,0.9924308083989605,0.41585277609990806,0.42781176003870386,0.011958983938795797,0.5021652821878464,0.38333642327787953,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.03271201215122088,-0.033093953245781904,8,8,8.0,0.002525157993659377,0.04500378994271159,0.058127809409052135,0.5300647734031372,0.34094253177920886,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,8
email-Eu-core-labeled,986,16064,paper,0.8,3,203,303,7134,0.44409860557768926,0.9968182474608163,0.41585277609990806,0.42281140147601265,0.006958625376104588,0.49520046152435065,0.39077253997580397,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.02527589545329645,-0.02565783654785747,8,7,8.0,0.0025207700673490763,0.04430005501490086,0.058127809409052135,0.48767764354924387,0.29392073094680643,0.5625949827329612,0.33507312061074834,0.008629827709602432,0.013162985480891247,7
