network,n,m,sampler,alpha,weighted,rep,sparsify_seed,leiden_seed,m_sparse,retention,Q_P0_orig,Q_P0_sparse,dQ_fixed,Q_sparse_leiden,Q_orig_of_P,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_P,nc_base_mean,t_leiden,ami_P,ari_P,ami_base_mean,ari_base_mean
wiki-Vote,7066,100736,calibrated_matched,0.3798,True,3,203,303,38219,0.3793976334180432,0.42397618528227865,0.42307097603126104,-0.0009052092510176135,0.510769040920326,0.40512362658191176,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.01930147954763245,-0.021680149987136577,7,9,6.4,0.28930831397883594,,,,
wiki-Vote,7066,100736,calibrated_matched,0.3798,False,3,203,303,38219,0.3793976334180432,0.42397618528227865,0.49896890341001876,0.07499271812774011,0.5196519117421228,0.41439627687385705,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.010028829255687155,-0.012407499695191282,7,7,6.4,0.2636333799455315,,,,
wiki-Vote,7066,100736,calibrated_matched,0.3798,True,4,204,304,38209,0.37929836404066075,0.42397618528227865,0.42981102585902287,0.005834840576744216,0.5141738472866175,0.4111789560178415,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.013246150111702715,-0.015624820551206842,7,5,6.4,0.2982771520037204,,,,
wiki-Vote,7066,100736,calibrated_matched,0.3798,False,4,204,304,38209,0.37929836404066075,0.42397618528227865,0.5027715225573561,0.07879533727507748,0.5208646701452604,0.4169955507606173,0.4244251061295442,0.0027917105133192103,0.42680377656904833,-0.007429555368926921,-0.009808225808431048,7,8,6.4,0.2742730249883607,,,,
ca-HepTh,8638,24806,paper,0.8,False,0,200,300,11728,0.47278884140933647,0.7618818232012058,0.8148522169865755,0.05297039378536972,0.8784298529573922,0.6255396785123668,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.13582691486792164,-0.1368200831128754,47,494,48.8,0.21512290195096284,,,,
ca-HepTh,8638,24806,paper,0.8,False,1,201,301,11786,0.4751269854067564,0.7618818232012058,0.8159264520120666,0.054044628810860806,0.8761395668596308,0.6281538408939463,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.13321275248634212,-0.1342059207312959,47,504,48.8,0.21608795097563416,,,,
ca-HepTh,8638,24806,paper,0.8,False,2,202,302,11870,0.47851326292026125,0.7618818232012058,0.8148885461638972,0.05300672296269138,0.8742590433146501,0.6370342777148117,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12433231566547676,-0.12532548391043052,47,484,48.8,0.22146626492030919,,,,
ca-HepTh,8638,24806,paper,0.8,False,3,203,303,11847,0.4775860678868016,0.7618818232012058,0.8178084197216716,0.05592659652046583,0.8749432682930842,0.6345420678932764,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12682452548701206,-0.12781769373196583,47,499,48.8,0.22325324593111873,,,,
ca-HepTh,8638,24806,paper,0.8,False,4,204,304,11879,0.4788760783681367,0.7618818232012058,0.8150954044635089,0.05321358126230313,0.8763393754266875,0.639447309866807,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.12191928351348147,-0.12291245175843524,47,480,48.8,0.2156217460287735,,,,
ca-HepTh,8638,24806,paper,1.0,False,0,200,300,13318,0.5368862372006773,0.7618818232012058,0.8098458556969584,0.04796403249575265,0.85771416732035,0.6694920030862537,0.7613665933802884,0.0010545325366254318,0.7623597616252422,-0.09187459029403477,-0.09286775853898854,47,300,48.8,0.22179123398382217,,,,
