dataset,variant,n,m,k,Q_orig,delta,ratio_pred,dQ_fixed_mean,dQ_fixed_std,dF_obs_mean,dF_obs_std,mdG_obs_mean,mdG_obs_std,retention_mean,ratio_obs_mean
ca-HepTh,LCC(seed42),8638,24806,47,0.7618818232012058,0.1736473032809125,0.5467361837231766,0.0541675619318089,0.0014999850643536625,0.04988702677817053,0.0014744364156418152,0.004280535153638172,0.00018099990295108979,0.4765500282189793,0.7075035626724262
ca-HepTh,LCC(seed7),8638,24806,47,0.7612404501128223,0.17169847080991948,0.5507065006210795,0.054569023838449804,0.001541862529420523,0.04842458261144531,0.0016089837426452088,0.006144441227004517,0.0002247902879361445,0.4765500282189793,0.7120013421340161
ca-HepTh,LCC(seed1234),8638,24806,56,0.759800909528635,0.17150800506162917,0.5518013629931863,0.05491371789088191,0.0023955805964920775,0.04824901442355759,0.0023527999828962614,0.0066647034673244605,0.00020680086021477686,0.4765500282189793,0.7164963189664546
cit-HepPh,FULL(seed42),34546,420877,83,0.732364519975246,0.007122195281333385,0.9144808680810708,0.011769529182854666,0.000503371845543404,0.003047696528608634,0.000549379197927988,0.008721832654244014,0.0001283688952707512,0.45815547060067424,0.9783412349502578
cit-HepPh,LCC(seed42),34401,420784,26,0.7314332495060649,0.011016105351387237,0.868494787222272,0.012020676967553611,0.00042707404532276686,0.008367045845777544,0.0004199265440227261,0.0036536311217759882,6.434903603651575e-05,0.4592696015057607,0.9445816166975369
cit-HepPh,LCC(seed7),34401,420784,19,0.7275282378830111,0.01158344760410894,0.8617713287601021,0.015095401984941336,0.0003985739124093734,0.009032914768408373,0.0004270376181192317,0.006062487216532833,7.05165071976912e-05,0.4592696015057607,0.93853251322644
cit-HepPh,LCC(seed1234),34401,420784,25,0.7324704481960331,0.006782338240531621,0.9182057700321598,0.012521580134183285,0.000427545037213557,0.0026851155002008188,0.00047507097256446523,0.00983646463398272,0.00011232834314430793,0.4592696015057607,0.9811886349182704
cit-HepTh,FULL(seed42),27769,352285,171,0.6629467911969064,0.026001219201381216,0.6964139595928144,0.045775925041413534,0.00085603987513475,0.03158456269820757,0.0008452684696620139,0.014191362343209557,9.410906780260662e-05,0.43049292476262113,0.8434992269884365
cit-HepTh,LCC(seed42),27400,352021,26,0.6566588620689939,0.026474311730763464,0.6880500689769631,0.04668161207762774,0.0007267196897946476,0.0350288577936528,0.0007286825895059601,0.011652754283975058,8.581626129383851e-05,0.4332465960837563,0.8285853365570418
cit-HepTh,LCC(seed7),27400,352021,28,0.6583968491705583,0.025394363738724016,0.6999611975219527,0.04652717602099743,0.0007460581129999988,0.03325079027838087,0.0007342894660905379,0.013276385742616617,5.148449956610006e-05,0.4332465960837563,0.8377954626869603
