dataset,n_full,m_full,n_lcc,m_lcc,n_comm,seed,alpha,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,Q_leiden_sparse,dQ_leiden_sparse,n1,n2,preserved_intra,preserved_inter,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta
ca-HepTh,9875,25973,8638,24806,47,80003,0.8,0.7618818232012058,11891,0.47935983229863743,0.8168038466410489,0.05492202343984309,0.7991211803595905,0.8496341771087377,0.05051299674914722,0.03723935715838451,0.0328303304676888,-0.004409026690695705,0.054922023439842926,1.6653345369377348e-16,0.8751393118728843,0.11325748867167851,19823,4983,10103,1788,0.5096604953841497,0.3588199879590608,0.704037278166135,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
ca-HepTh,9875,25973,8638,24806,47,80004,0.8,0.7618818232012058,11866,0.47835201161009433,0.8179278667123061,0.05604604351110032,0.7991211803595905,0.8509185909320748,0.051797410572484326,0.03723935715838451,0.032990724219768654,-0.004248632938615854,0.05604604351110018,1.3877787807814457e-16,0.874864355577559,0.11298253237635325,19823,4983,10097,1769,0.5093578166775967,0.3550070238811961,0.6969698162223383,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
ca-HepTh,9875,25973,8638,24806,47,80005,0.8,0.7618818232012058,11761,0.47411916471821336,0.8152627609199325,0.05338093771872676,0.7991211803595905,0.8481421647819063,0.04902098442231584,0.03723935715838451,0.032879403861974195,-0.004359953296410313,0.05338093771872615,6.106226635438361e-16,0.8764734201366065,0.11459159693540066,19823,4983,9975,1786,0.5032033496443525,0.3584186233192856,0.7122739218103457,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
ca-HepTh,9875,25973,8638,24806,47,80006,0.8,0.7618818232012058,11783,0.47500604692413123,0.815121424485867,0.05323960128466121,0.7991211803595905,0.8482559619791225,0.049134781619532,0.03723935715838451,0.03313453749325595,-0.004104819665128559,0.053239601284660557,6.522560269672795e-16,0.8718425255584904,0.10996070235728461,19823,4983,9995,1788,0.5042122786661958,0.3588199879590608,0.7116446844734831,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
ca-HepTh,9875,25973,8638,24806,47,80007,0.8,0.7618818232012058,11840,0.47730387809400954,0.8164970367855184,0.05461521358431265,0.7991211803595905,0.8494932432432433,0.05037206288365281,0.03723935715838451,0.032996206457724615,-0.004243150700659892,0.054615213584312705,5.551115123125783e-17,0.8758245961068744,0.11394277290566857,19823,4983,10058,1782,0.5073904050850022,0.3576158940397351,0.7048140651769407,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
ca-HepTh,9875,25973,8638,24806,47,80008,0.8,0.7618818232012058,11798,0.4756107393372571,0.8173893529725863,0.055507529771380515,0.7991211803595905,0.8503983726055263,0.051277192245935854,0.03723935715838451,0.03300901963294022,-0.004230337525444286,0.05550752977138014,3.7470027081099033e-16,0.8732545110593525,0.11137268785814669,19823,4983,10033,1765,0.5061292438076981,0.3542042946016456,0.6998297350631338,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
ca-HepTh,9875,25973,8638,24806,47,80009,0.8,0.7618818232012058,11790,0.47528823671692333,0.8140937029914946,0.05221187979028885,0.7991211803595905,0.8469889737065309,0.04786779334694047,0.03723935715838451,0.032895270715036465,-0.004344086443348043,0.05221187979028851,3.400058012914542e-16,0.8754048333826155,0.11352301018140976,19823,4983,9986,1804,0.5037582606063663,0.3620309050772627,0.7186599871166212,0.5467361837231766,0.3831042696222199,0.2094569663413074,0.1736473032809125
cit-HepPh,34546,420877,34401,420784,26,80000,0.8,0.7314332495060649,193158,0.4590431195102475,0.7431165662888454,0.01168331678278045,0.8171033119130005,0.8250499591008398,0.007946647187839329,0.08567006240693543,0.08193339281199398,-0.0037366695949414552,0.011683316782780784,3.3306690738754696e-16,0.7478229270362792,0.016389677530214253,343824,76960,159365,33793,0.46350749220531434,0.43909823284823285,0.9473379400170101,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80001,0.8,0.7314332495060649,193059,0.4588078444047302,0.7432683699649715,0.011835120458906556,0.8171033119130005,0.8252295930259661,0.00812628111296565,0.08567006240693543,0.0819612230609947,-0.00370883934594074,0.01183512045890639,1.6653345369377348e-16,0.7532803369201355,0.0218470874140706,343824,76960,159318,33741,0.4633707943599051,0.4384225571725572,0.9461592368552034,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80002,0.8,0.7314332495060649,193122,0.45895756492642303,0.7435680018494661,0.012134752343401223,0.8171033119130005,0.8255196197222481,0.008416307809247625,0.08567006240693543,0.08195161787278195,-0.0037184445341534866,0.012134752343401112,1.1102230246251565e-16,0.7509636685435235,0.019530419037458557,343824,76960,159426,33696,0.4636849085578668,0.43783783783783786,0.9442572526235167,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80003,0.8,0.7314332495060649,193495,0.45984400547549337,0.7429503887033599,0.011517139197295023,0.8171033119130005,0.8250859195328044,0.00798260761980396,0.08567006240693543,0.08213553082944446,-0.003534531577490979,0.01151713919729494,8.326672684688674e-17,0.7469432136809323,0.015509964174867386,343824,76960,159650,33845,0.46433640467215787,0.4397739085239085,0.9471019375153418,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80004,0.8,0.7314332495060649,193031,0.4587413019506445,0.7431205589345466,0.01168730942848173,0.8171033119130005,0.8251317145950651,0.008028402682064617,0.08567006240693543,0.08201115566051828,-0.0036589067464171537,0.01168730942848177,4.163336342344337e-17,0.7482941699200527,0.01686092041398779,343824,76960,159276,33755,0.4632486388384755,0.4386044698544699,0.9468014217034786,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80005,0.8,0.7314332495060649,193401,0.45962061295106277,0.7443103066400383,0.012877057133973357,0.8171033119130005,0.8262625322516429,0.009159220338642471,0.08567006240693543,0.08195222561160438,-0.003717836795331053,0.012877057133973524,1.6653345369377348e-16,0.7522192596998287,0.020786010193763804,343824,76960,159800,33601,0.4647726743915492,0.43660343035343036,0.93939135067483,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
cit-HepPh,34546,420877,34401,420784,26,80006,0.8,0.7314332495060649,193241,0.4592403703562873,0.7429687176355646,0.011535468129499682,0.8171033119130005,0.8250216051459058,0.007918293232905382,0.08567006240693543,0.08205288751034132,-0.003617174896594119,0.011535468129499502,1.8041124150158794e-16,0.751650656913425,0.02021740740736011,343824,76960,159428,33813,0.4636907254874587,0.4393581081081081,0.947524036945594,0.868494787222272,0.0837693435773289,0.07275323822594167,0.011016105351387237
