network,chain,chain_seed,spe,spe_nom,accepted,ami_P0,final,stalled,fresh_n,fresh_m,fresh_n_comms,fresh_Q,fresh_p_intra,fresh_sd_s,fresh_mu_s,fresh_delta,fresh_mu_intra,fresh_mu_inter,fresh_r_pb,fresh_auc_s,fresh_auc_prod,fresh_hb,fresh_deg_R2,fresh_hub_inter_frac,fresh_nonhub_inter_frac,fresh_hub_inter_lift,fresh_assort_deg,fresh_transitivity,fresh_avg_local_cc,fresh_tri_intra,fresh_tri_inter,fresh_tri_frac_intra_ge1,fresh_tri_frac_inter_ge1,fresh_comm_size_mean,fresh_comm_size_max_frac,fresh_comm_size_gini,seconds
ca-GrQc,up,2,0.1,0.1,1342,0.5106749008024914,0,0,4158,13422,38,0.7080700140001045,0.755327074951572,0.28376157903937577,0.3097898971837282,0.09948403625411001,0.33413094732964516,0.23464691107553515,0.1507163222844763,0.5453214879486473,0.43514414298274556,0.6362620138919628,0.08637865796045363,0.3020408163265306,0.2061752988047809,1.234467672574511,0.5183644629312538,0.3369223276690403,0.30544041736621746,7.393568751232984,0.5587697929354446,0.8167291378970211,0.31090133982947626,109.42105263157895,0.07118807118807119,0.31658692185007964,0.1
ca-GrQc,up,2,0.15,0.15,2013,0.4498319869718457,0,0,4158,13422,40,0.6486066695367184,0.6961704663984503,0.2826023428971527,0.3097898971837282,0.11133575570675655,0.3436169879132881,0.23228123220653155,0.18118894422915488,0.5591653966615048,0.4214683192934691,0.6904025277097086,0.0701374719401816,0.3813222543352601,0.24942936850114125,1.255053285357494,0.46898183984596686,0.2438892764534769,0.2237839754399493,5.755672089041096,0.4428641490926925,0.7586686643835616,0.2596861206473762,103.95,0.061808561808561806,0.32823472823472843,0.2
ca-GrQc,up,2,0.2,0.2,2684,0.33550920547138785,0,0,4158,13422,37,0.5902285840732667,0.6473699895693638,0.2817958428647739,0.3097898971837282,0.12633531211636817,0.3543395196130808,0.22800420749671263,0.21420326782283564,0.5738599335485096,0.4098260628920528,0.7261362656138914,0.06155636511406237,0.438339222614841,0.29013140943055915,1.24305705597642,0.42535122682202053,0.1738249114817106,0.16287475817845798,4.3528599378524575,0.3794633424889077,0.688917021521464,0.23072047327276568,112.37837837837837,0.08008658008658008,0.3283803283803284,0.2
ca-GrQc,up,2,0.3,0.3,4027,0.2022570558156762,0,0,4158,13422,34,0.4898839347751844,0.5821785128892862,0.28122812142235903,0.3097898971837282,0.1391269469599482,0.36792012505970717,0.22879317809975896,0.24399222115024655,0.5800980705285185,0.40357634501080214,0.7290434060465937,0.07609141134139419,0.5065465056963101,0.34862750298368916,1.212351497763173,0.3583366131457385,0.09312518921195688,0.08256615382872202,2.4706936268236497,0.34218972895863053,0.5290504223189147,0.2148716119828816,122.29411764705883,0.09523809523809523,0.359675183204595,0.2
ca-GrQc,up,2,0.4,0.4,5369,0.11758931225037057,0,0,4158,13422,37,0.43429864567812215,0.522202354343615,0.28200399261623044,0.3097898971837282,0.17653253178263942,0.3941367252512343,0.21760419346859486,0.31268777930099184,0.6320279619994493,0.35771913133805355,1.0021905398546531,0.057865856858792974,0.57907824933687,0.395128552097429,1.2119738441602166,0.2982410916618912,0.049715030339725956,0.04748396607840641,1.2559566271936082,0.3941992827070014,0.3912112997574547,0.2309371588959925,112.37837837837837,0.094997594997595,0.5068835068835069,0.2
ca-GrQc,up,2,0.5,0.5,6711,0.06950604963982324,0,0,4158,13422,38,0.3961774339222621,0.5412755178065862,0.28421765683841527,0.3097898971837282,0.15309205746425722,0.38001697197194395,0.22692491450768673,0.26840262359704736,0.5797072608340531,0.40594253084660936,0.6825617224337551,0.09361848923008953,0.531960111165604,0.3973990417522245,1.1596505785390188,0.26824292401773836,0.03185342161030892,0.027370076272415358,0.7799036476256022,0.2588923176871853,0.3311768754301445,0.17638460289101834,109.42105263157895,0.1382876382876383,0.5267335004177109,0.2
ca-GrQc,up,2,1.0,1.0,13422,0.0216244690287687,0,0,4158,13422,63,0.4006469905392878,0.5792728356429743,0.30467799660698447,0.3097898971837282,0.13130055114843864,0.3650316057469254,0.23373105459848675,0.21274889647183506,0.5207189544344463,0.462503335293987,0.6112807766850601,0.27723346318438125,0.44601650665319187,0.4006680026720107,1.060108651018088,0.3386990618952915,0.027509773208903163,0.007692144702543351,0.6307395498392283,0.24189835310784488,0.3032797427652733,0.16256419337701433,66.0,0.12000962000962001,0.7084449941592799,0.2
ca-GrQc,up,2,1.5,1.5,20133,0.02687901384559439,0,0,4158,13422,83,0.4643696807823847,0.6777678438384741,0.32982583781332814,0.3097898971837282,0.09447675055702845,0.3402333442228541,0.24575659366582567,0.13386442971786114,0.44610833400581146,0.5411060369898989,0.350094966114254,0.4862219738673177,0.26443825441039925,0.3609555804404629,0.8206451446696829,0.5427505861799231,0.04383136114145815,0.006162852233465815,1.0359459162361218,0.13086705202312138,0.3845223700120919,0.10728323699421966,50.096385542168676,0.15897065897065896,0.8189178068696141,0.2
ca-GrQc,up,2,2.0,2.0,26844,0.030815846363959815,0,0,4158,13422,150,0.5260346867226586,0.741469229623007,0.34728806128544154,0.3097898971837282,0.07303652786741965,0.32867208699895295,0.2556355591315333,0.09207737964246301,0.42838978682691325,0.5646793224190814,0.3103152100287681,0.7026342063425071,0.17261783309528667,0.3079450768689121,0.6676877682434978,0.68934673081694,0.05983704737209272,0.00793991462662605,1.3235530546623795,0.13429394812680115,0.3990152733118971,0.11325648414985591,27.72,0.16666666666666666,0.8483694083694084,0.2
ca-GrQc,up,2,2.5,2.5,33555,0.03537185393825968,0,0,4158,13422,219,0.5999840194357109,0.8492773059156609,0.35862431589252,0.3097898971837282,0.03243218117364821,0.3146781629052518,0.2822459817316036,0.03235567827137275,0.40797609662753237,0.5894230343505169,0.28770677793111776,0.8076055466739751,0.08259521700620018,0.18526835841006065,0.5479945638443988,0.773434787887573,0.07277585457991655,0.008812893576152437,1.4243354680235107,0.17350469599604548,0.3885428546363716,0.14483440434997527,18.986301369863014,0.23977873977873979,0.858664927158078,0.2
ca-GrQc,up,2,3.0,3.0,40266,0.04389381184318009,0,0,4158,13422,287,0.69024379139341,0.8904038146326926,0.3663555103466455,0.3097898971837282,0.06359190191925695,0.3167593270543307,0.25316742513507373,0.05422384512877032,0.481699320491827,0.5175684805409535,0.5033810160273767,0.8956845945661427,0.1169740835862713,0.10613852719115877,1.0673189326274188,0.819920490020318,0.08122622510628776,0.012603260384093241,1.4732658354949377,0.6159075458871516,0.42465065684879927,0.3405846363018355,14.487804878048781,0.30904280904280906,0.8384994796144623,0.2
ca-GrQc,up,2,3.2441,3.2441,43542,0.04229607505421122,1,1,4158,13422,322,0.7423463982398225,0.9210251825361347,0.36928766292953774,0.3097898971837282,0.07701974327392094,0.31587251734989985,0.2388527740759789,0.05624932760946652,0.5071480465089303,0.49251846040666314,0.582837544445428,0.940512988707375,0.07606635071090047,0.08030862855900892,0.9631722256997233,0.8345213820467653,0.08891316651968462,0.017762106788535882,1.5406083158065038,1.150943396226415,0.4639216955185245,0.44056603773584907,12.91304347826087,0.27585377585377585,0.8219521449335114,0.1
ca-GrQc,down,1,0.0,0.0,0,1.0,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.1
ca-GrQc,down,1,0.01,0.01,134,0.8194210862189445,0,0,4158,13422,41,0.8439894898966575,0.8883176873789301,0.285154016262567,0.3097898971837282,0.06497493883800404,0.317046448615569,0.252071509777565,0.07176996599882123,0.49558245014135344,0.4890388218777852,0.41488834958751586,0.219185138767517,0.10867850098619329,0.11350574712643678,0.9731039627996575,0.6305795676919503,0.622379003066879,0.525467693046002,11.744862870083033,1.2128085390260173,0.912018787217982,0.6397598398932621,101.41463414634147,0.06782106782106782,0.36822346578444143,0.1
ca-GrQc,down,1,0.02,0.02,268,0.837507729237631,0,0,4158,13422,40,0.841019860418161,0.8865295783042766,0.28344789413506793,0.3097898971837282,0.04575252500383242,0.31498145548955714,0.2692289304857247,0.051195263391993165,0.47177033421536496,0.5097324951632467,0.3664955176984228,0.21015293941703406,0.10301359070317116,0.11983223487118035,0.9078453147852683,0.6246165567583967,0.6173377384070656,0.49575911612943896,11.718883939826876,0.8273145108338805,0.9031851416085386,0.5022980958634274,103.95,0.061087061087061086,0.3742544492544493,0.1
