network,graph,arm,n,m,m_arm,n_runs,target_ret,e_used,realized_ret,status,ret_core,frac_core,n_fill,Q_base_mean,Q_base_std,Q_base_best,nc_base,T_leiden_orig,Q_native_mean,Q_native_std,Q_orig_mean,Q_orig_std,Q_orig_best,Q_pre_refine_mean,nc_arm_mean,nc_arm_std,dQ_honest_vs_mean,dQ_honest_vs_best,T_jaccard,T_prep,T_leiden_arm,T_arm_total,budget,n_restarts,Q_matched_best,dQ_vs_matched,pooled_sd,sig_2sd,meanJ,deltaJ,notes
wiki-Vote,real,C_seed,7066,100736,50546,3,0.5,0.71875,0.501767,ok,,,,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.42719936440395045,0.0019870726909666076,0.42719936440395045,0.0019870726909666076,0.43000249165979554,0.41511560445615814,6.0,0.0,0.0027742582744062494,0.00039558783490212246,0.17766630000005534,0.057807821999631415,0.571954317999977,0.8074284399996637,0.8074284399996637,2,0.42936553688762724,-0.002166172483676787,0.0022564768945556347,0,0.05920337393994462,0.012616533699281271,Leiden on L-Spar@0.5 then optimise on G from that membership
wiki-Vote,real,L_lspar05,7066,100736,50546,3,0.5,0.71875,0.501767,ok,,,,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.5786808026672795,0.0009198144739382917,0.41511560445615814,0.0012549414546620882,0.41626579908562944,,8.333333333333334,1.247219128924647,-0.009309501673386067,-0.011688172112890194,0.17766630000005534,0.05752702900008444,0.24339461066635218,0.47858793966649193,0.47858793966649193,2,0.42936553688762724,-0.014249932431469103,0.00197608149209123,0,0.05920337393994462,0.012616533699281271,pure L-Spar deletion (Exp L reproduction)
wiki-Vote,real,D_protected,7066,100736,50368,6,0.5,0.717469,0.5,ok,0.49999,0.99998,1,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.5781449092901046,0.0027078169107803683,0.4142005957828169,0.0023599729827718427,0.41742584511879166,,7.833333333333333,0.372677996249965,-0.010224510346727278,-0.012603180786231405,0.17766630000005534,0.07430756699977792,0.24148687833348959,0.49346074533332285,0.49346074533332285,2,0.42936553688762724,-0.015164941104810314,0.0024294434086385543,0,0.05920337393994462,0.012616533699281271,L-Spar core (largest e with ret<=0.5) + uniform random fill
wiki-Vote,real,U_uniform05,7066,100736,50368,6,0.5,,0.5,ok,,,,0.4244251061295442,0.0024969817925130345,0.42680377656904833,6.4,0.4010124227999768,0.4347911301689746,0.0033818438795411316,0.4052405206031564,0.003854800034887502,0.4094749839895871,,1387.8333333333333,15.614274096337478,-0.0191845855263878,-0.021563255965891925,0.0,0.029621691999636823,0.3034286438332856,0.33305033583292243,0.33305033583292243,1,0.42936553688762724,-0.024125016284470835,0.0032476454071457906,0,,,"uniform random 50% of edges (no J computed, no T_jaccard)"
ca-HepTh,real,A_baseline,8638,24806,24806,5,1.0,,1.0,ok,,,,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.7613665933802884,0.0009432025745519009,0.7613665933802884,0.0009432025745519009,0.7623597616252422,,48.8,0.7483314773547882,0.0,-0.0009931682449537682,,,0.2460641152001699,0.2460641152001699,,,,,,,,,
ca-HepTh,real,B_weight,8638,24806,24806,3,1.0,,1.0,ok,,,,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.7619576764086203,0.0006118983255960682,0.7619576764086203,0.0006118983255960682,0.7625030244371399,,56.333333333333336,1.247219128924647,0.0005910830283318846,-0.00040208521662188357,0.01094043499961117,8.207999599108007e-06,0.23889753166683173,0.249846174666042,0.249846174666042,2,0.7621034738723506,-0.00014579746373022395,0.0007950002067636856,0,0.17753779599819214,0.1495730603972822,"w=1+J, weighted Leiden, scored unweighted"
ca-HepTh,real,Bshuf_weight,8638,24806,24806,6,1.0,,1.0,ok,,,,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.7590283117348603,0.001281694684708509,0.7590283117348603,0.001281694684708509,0.7607574664911282,,49.166666666666664,1.7716909687891083,-0.002338281645428153,-0.003331449890381921,0.01094043499961117,0.0003912894999302807,0.23877647900008014,0.2501082034996216,0.2501082034996216,2,0.7621034738723506,-0.0030751621374902616,0.0011252493860143579,0,0.17753779599819214,0.1495730603972822,"J permuted across edges (seeds 500,501) x 3 Leiden seeds"
ca-HepTh,real,C_seed,8638,24806,12418,3,0.5,0.265625,0.500605,ok,,,,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.7565382487022134,0.001060231778876172,0.7565382487022134,0.001060231778876172,0.7579577669453651,0.6890628792396277,48.0,0.816496580927726,-0.004828344678075025,-0.005821512923028793,0.01094043499961117,0.011759132999941357,0.385716441667076,0.40841600966662855,0.40841600966662855,2,0.7621034738723506,-0.005565225170137134,0.0010034247658843851,0,0.17753779599819214,0.1495730603972822,Leiden on L-Spar@0.5 then optimise on G from that membership
ca-HepTh,real,L_lspar05,8638,24806,12418,3,0.5,0.265625,0.500605,ok,,,,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.9464211128260084,0.0004145673529603829,0.6890628792396277,0.001322196043203601,0.69064076473944,,314.6666666666667,1.247219128924647,-0.07230371414066072,-0.07329688238561449,0.01094043499961117,0.012258892999852833,0.18550287499995952,0.20870220299942352,0.20870220299942352,1,0.7621034738723506,-0.07304059463272283,0.0011484410026868148,0,0.17753779599819214,0.1495730603972822,pure L-Spar deletion (Exp L reproduction)
ca-HepTh,real,D_protected,8638,24806,12403,6,0.5,0.26265,0.5,ok,0.498146,0.996291,46,0.7613665933802884,0.0009432025745519009,0.7623597616252422,48.8,0.2460641152001699,0.9449570706902147,0.00014775768492643674,0.6875355462032329,0.0014260797266180112,0.689943253365376,,313.3333333333333,1.699673171197595,-0.07383104717705558,-0.07482421542200934,0.01094043499961117,0.017116252000505483,0.18734342299997783,0.21540011000009449,0.21540011000009449,1,0.7621034738723506,-0.07456792766911768,0.0012089943100180903,0,0.17753779599819214,0.1495730603972822,L-Spar core (largest e with ret<=0.5) + uniform random fill
