dataset,graph,condition,seed,n_clusters,n_clusters_ge3,AMI,ARI,NMI,avgF1_ge3,gt2det,det2gt_ge3,realized_ret,e_used,resolution,notes
com-Amazon,real,baseline,101,311,311,,,,0.19542425031602345,0.10319378778831262,0.2876547128437343,1.0,,1.0,
com-Amazon,real,baseline,102,308,308,,,,0.1762868016228491,0.09307689223999122,0.259496711005707,1.0,,1.0,
com-Amazon,real,chance_baseline,11,300,300,,,,0.012746296123254622,0.008174046112688847,0.017318546133820396,,,,size-matched random partition
com-Amazon,real,chance_baseline,12,300,300,,,,0.012416589822923024,0.008044672479491212,0.016788507166354834,,,,size-matched random partition
com-Amazon,real,chance_baseline,13,300,300,,,,0.011734330793386281,0.007996893397563444,0.01547176818920912,,,,size-matched random partition
com-Amazon,real,B_weight,300,385,385,,,,0.20454142530352065,0.1312061186820571,0.2778767319249842,1.0,,1.0,
com-Amazon,real,B_weight,301,360,360,,,,0.19435072308398316,0.11109156013864402,0.2776098860293223,1.0,,1.0,
com-Amazon,real,B_weight,302,364,364,,,,0.17649668007100922,0.09941394319558006,0.2535794169464384,1.0,,1.0,
com-Amazon,real,chance_B_weight,11,385,385,,,,0.014903326156892067,0.01100001231803834,0.018806639995745795,,,,size-matched random partition
com-Amazon,real,chance_B_weight,12,385,385,,,,0.014169275501833275,0.010053646020807822,0.018284904982858726,,,,size-matched random partition
com-Amazon,real,chance_B_weight,13,385,385,,,,0.014742764444961906,0.01100899269752585,0.018476536192397964,,,,size-matched random partition
com-Amazon,real,C_seed,300,326,326,,,,0.22718546227725836,0.11944668005645785,0.33492424449805885,1.0,0.0625,1.0,seeded from L-Spar ret=0.5418
com-Amazon,real,C_seed,301,309,309,,,,0.2245096788891718,0.11643087988256039,0.3325884778957832,1.0,0.0625,1.0,seeded from L-Spar ret=0.5418
com-Amazon,real,C_seed,302,326,326,,,,0.21124704881509163,0.10345399324849265,0.3190401043816906,1.0,0.0625,1.0,seeded from L-Spar ret=0.5418
com-Amazon,real,chance_C_seed,11,326,326,,,,0.015523142845375596,0.009513910544486996,0.021532375146264195,,,,size-matched random partition
com-Amazon,real,chance_C_seed,12,326,326,,,,0.014908042572389,0.009776516290345823,0.02003956885443218,,,,size-matched random partition
com-Amazon,real,chance_C_seed,13,326,326,,,,0.014243004750675059,0.010136319391419797,0.01834969010993032,,,,size-matched random partition
com-Amazon,real,L_lspar05,300,8653,8653,,,,0.40141402330295617,0.7019840984778243,0.10084394812808804,0.5418,0.0625,1.0,
com-Amazon,real,L_lspar05,301,8658,8658,,,,0.4022306997506385,0.703504657259464,0.10095674224181307,0.5418,0.0625,1.0,
com-Amazon,real,L_lspar05,302,8662,8662,,,,0.4019550945684915,0.7029600106833849,0.10095017845359808,0.5418,0.0625,1.0,
com-Amazon,real,chance_L_lspar05,11,8653,8653,,,,0.05580417858167473,0.08976596211794645,0.021842395045403022,,,,size-matched random partition
com-Amazon,real,chance_L_lspar05,12,8653,8653,,,,0.05602915844985013,0.08969581445452475,0.022362502445175514,,,,size-matched random partition
com-Amazon,real,chance_L_lspar05,13,8653,8653,,,,0.05841289198343925,0.0937768359498011,0.023048948017077398,,,,size-matched random partition
com-Amazon,real,resmatch_B_weight,100,376,376,,,,0.15372899629371906,0.08868186791210506,0.21877612467533306,1.0,,1.5,granularity control for B_weight (k>=3=370)
com-Amazon,real,resmatch_L_lspar05,100,8424,8424,,,,0.3301633509182033,0.5765040125149958,0.08382268932141083,1.0,,320.0,granularity control for L_lspar05 (k>=3=8658)
com-Amazon,real,resmatch_sweep_L_lspar05,100,9222,9222,,,,0.3424479199047125,0.6051272818310399,0.0797685579783851,1.0,,384.0,over-matched x1.1
com-Amazon,real,resmatch_sweep_L_lspar05,100,10695,10695,,,,0.36688327532537407,0.6589120193259576,0.07485453132479061,1.0,,512.0,over-matched x1.2
com-Amazon,real,resmatch_sweep_L_lspar05,100,11863,11863,,,,0.3724119367206026,0.6746258392413278,0.07019803419987736,1.0,,640.0,over-matched x1.4
